i,j,Pattern,Score
0,10,next_attention,0.4041021643817587
1,1,next_attention,0.4417818340535581
2,0,next_attention,0.013417873688375992
2,9,next_attention,0.019524047242521346
5,9,next_attention,0.41660873767308465
1,4,previous_attention,0.404314095291374
3,5,previous_attention,0.310342744536621
2,6,repeated_attention,0.4474295167539709
0,0,uniform_attention,0.14733640172581125
0,1,uniform_attention,0.3274563099784573
0,4,uniform_attention,0.20819184667891744
0,5,uniform_attention,0.31049143215208
0,6,uniform_attention,0.24659319249721207
0,7,uniform_attention,0.3096801781270061
0,8,uniform_attention,0.3102254962382018
0,9,uniform_attention,0.3071798011456306
0,11,uniform_attention,0.4100064749912885
1,0,uniform_attention,0.38252948756967886
1,3,uniform_attention,0.4070362776080028
1,5,uniform_attention,0.4252651186001355
1,7,uniform_attention,0.40480838506370176
1,8,uniform_attention,0.3069754458473704
1,9,uniform_attention,0.3536132259522856
1,11,uniform_attention,0.4011664201782728
2,3,uniform_attention,0.41945826425816
2,5,uniform_attention,0.3492873787079418
2,7,uniform_attention,0.39436455565609096
2,8,uniform_attention,0.42802942382683096
2,11,uniform_attention,0.4001261855568936
3,1,uniform_attention,0.34069413748085486
3,4,uniform_attention,0.43992063037764473
3,6,uniform_attention,0.42430224627632923
3,7,uniform_attention,0.4115610404637298
3,8,uniform_attention,0.4362945133728676
4,1,uniform_attention,0.3354178285324673
4,4,uniform_attention,0.42995680046308093
4,9,uniform_attention,0.44981209866290806
6,7,uniform_attention,0.3968392655221825
8,7,uniform_attention,0.42208463052644224
8,8,uniform_attention,0.3829567392588078
9,5,uniform_attention,0.4275791686192433
9,10,uniform_attention,0.4475018511462456
10,0,uniform_attention,0.42767823714495384
11,2,uniform_attention,0.40286399760578606
11,9,uniform_attention,0.38606224832298636
1,6,cls_attention,0.18201072181566724
2,2,cls_attention,0.3999918211026453
4,0,eos_attention,0.3977562211785357
4,2,eos_attention,0.4235250774253131
4,3,eos_attention,0.27855874475578896
4,7,eos_attention,0.40860803622683683
4,11,eos_attention,0.4196881418079146
