layer,head,program_idx,iou_score
0,0,70,0.919
0,1,70,0.916
0,2,70,0.901
0,3,70,0.939
0,4,70,0.959
0,5,70,0.945
0,6,70,0.919
0,7,70,0.946
0,8,70,0.873
0,9,70,0.889
0,10,70,0.842
0,11,70,0.851
0,12,70,0.846
0,13,70,0.83
0,14,70,0.876
0,15,70,0.929
0,16,70,0.598
0,17,37,0.589
0,18,70,0.68
0,19,70,0.596
0,20,37,0.53
0,21,70,0.632
0,22,37,0.484
0,23,37,0.6
0,24,70,0.784
0,25,70,0.753
0,26,70,0.597
0,27,70,0.819
0,28,70,0.753
0,29,70,0.781
0,30,70,0.557
0,31,70,0.787
1,0,73,0.517
1,1,73,0.503
1,2,73,0.503
1,3,20,0.572
1,4,29,0.477
1,5,70,0.576
1,6,73,0.484
1,7,73,0.527
1,8,70,0.608
1,9,37,0.478
1,10,70,0.51
1,11,70,0.674
1,12,37,0.592
1,13,70,0.594
1,14,70,0.639
1,15,70,0.55
1,16,37,0.326
1,17,37,0.339
1,18,37,0.324
1,19,37,0.343
1,20,37,0.392
1,21,37,0.329
1,22,20,0.383
1,23,37,0.326
1,24,70,0.467
1,25,20,0.538
1,26,20,0.461
1,27,20,0.489
1,28,37,0.415
1,29,37,0.453
1,30,44,0.544
1,31,70,0.645
2,0,70,0.606
2,1,37,0.512
2,2,37,0.582
2,3,37,0.596
2,4,70,0.571
2,5,37,0.618
2,6,70,0.575
2,7,37,0.572
2,8,73,0.522
2,9,70,0.505
2,10,70,0.509
2,11,70,0.539
2,12,70,0.483
2,13,70,0.487
2,14,70,0.563
2,15,20,0.51
2,16,70,0.43
2,17,70,0.43
2,18,37,0.354
2,19,20,0.421
2,20,20,0.426
2,21,37,0.438
2,22,37,0.404
2,23,37,0.445
2,24,37,0.436
2,25,20,0.407
2,26,37,0.388
2,27,37,0.468
2,28,37,0.386
2,29,37,0.386
2,30,37,0.357
2,31,37,0.402
3,0,48,0.958
3,1,55,0.943
3,2,45,0.914
3,3,45,0.841
3,4,48,0.965
3,5,51,0.927
3,6,51,0.931
3,7,51,0.957
3,8,63,0.835
3,9,79,0.882
3,10,83,0.816
3,11,83,0.915
3,12,63,0.857
3,13,79,0.813
3,14,83,0.831
3,15,65,0.777
3,16,51,0.925
3,17,83,0.826
3,18,79,0.843
3,19,63,0.849
3,20,79,0.831
3,21,63,0.771
3,22,63,0.868
3,23,35,0.682
3,24,42,0.787
3,25,42,0.819
3,26,42,0.852
3,27,79,0.857
3,28,69,0.675
3,29,83,0.855
3,30,79,0.852
3,31,42,0.848
4,0,63,0.845
4,1,83,0.804
4,2,83,0.805
4,3,63,0.873
4,4,51,0.93
4,5,63,0.897
4,6,63,0.838
4,7,83,0.824
4,8,48,0.959
4,9,45,0.89
4,10,63,0.835
4,11,45,0.887
4,12,51,0.921
4,13,63,0.902
4,14,63,0.849
4,15,63,0.843
4,16,51,0.85
4,17,51,0.944
4,18,63,0.923
4,19,83,0.886
4,20,63,0.896
4,21,83,0.807
4,22,42,0.764
4,23,63,0.91
4,24,63,0.907
4,25,51,0.922
4,26,63,0.84
4,27,89,0.895
4,28,45,0.94
4,29,45,0.877
4,30,45,0.882
4,31,51,0.929
5,0,42,0.788
5,1,42,0.772
5,2,42,0.786
5,3,42,0.678
5,4,63,0.834
5,5,79,0.781
5,6,35,0.829
5,7,83,0.811
