k,head,program,strategy,increase,kl_div
1,"(5, 1)",cls_attention,smart,0.03420307473948125,0.001781320448135375
2,"(4, 11)",previous_attention,smart,0.3032595393506099,0.002606529266340658
3,"(7, 2)",cls_attention,smart,0.47073140882562536,0.00454152991893352
4,"(6, 9)",cls_attention,smart,-0.14065951384298947,0.006237151678942609
5,"(9, 9)",sentence_beginning_salience,smart,-0.05075680721899566,0.00841627084009815
6,"(7, 10)",sentence_beginning_salience,smart,0.4105202840005901,0.009517819233005867
7,"(9, 6)",sentence_beginning_salience,smart,0.8339201856373335,0.010576344140281435
8,"(10, 10)",sentence_beginning_salience,smart,1.1921343936356692,0.011653057912772056
9,"(10, 8)",sentence_beginning_salience,smart,0.8248157192415733,0.01268887376994826
10,"(9, 11)",sentence_beginning_salience,smart,1.4038411768348305,0.014203752392786555
11,"(8, 1)",sentence_beginning_salience,smart,1.6102134005974886,0.01660427473427262
12,"(10, 6)",sentence_beginning_salience,smart,1.6181841583135608,0.018010683557367884
13,"(11, 6)",sentence_beginning_salience,smart,815.6325557627664,2.8075845050811767
14,"(10, 2)",sentence_beginning_salience,smart,821.5919036343934,2.812569100856781
15,"(10, 1)",sentence_beginning_salience,smart,825.3822340550142,2.816700439453125
16,"(9, 4)",sentence_beginning_salience,smart,828.2304126577203,2.822536747455597
17,"(3, 0)",sentence_beginning_salience,smart,828.3042678675556,2.8187726378440856
18,"(11, 9)",sentence_beginning_salience,smart,831.5466815915195,2.822314832210541
19,"(5, 5)",sentence_beginning_salience,smart,832.5703858237242,2.824870216846466
20,"(7, 11)",sentence_beginning_salience,smart,834.069233254319,2.829889326095581
21,"(0, 1)",lexical_diversity_focus,smart,833.984395339896,2.825400700569153
22,"(9, 1)",sentence_beginning_salience,smart,836.937905405344,2.826222686767578
23,"(11, 2)",sentence_beginning_salience,smart,1009.8617838210687,2.9371502685546873
24,"(6, 10)",sentence_beginning_salience,smart,1011.8982830268462,2.939611940383911
25,"(3, 4)",sentence_beginning_salience,smart,1012.4262997819328,2.9421117877960206
26,"(7, 7)",sentence_beginning_salience,smart,1014.369853757105,2.9451028537750243
27,"(11, 5)",sentence_beginning_salience,smart,1022.265730346397,2.949385986328125
28,"(5, 0)",sentence_beginning_salience,smart,1025.1730955011647,2.953388156890869
29,"(5, 9)",sentence_beginning_salience,smart,1026.7337466934205,2.9565743017196655
30,"(7, 1)",sentence_beginning_salience,smart,1029.822100971539,2.9589225578308107
31,"(6, 6)",sentence_start_attention,smart,1028.7745997678644,2.9574663066864013
32,"(4, 10)",sentence_beginning_salience,smart,1027.7511309423157,2.9587159967422485
33,"(10, 0)",sentence_beginning_salience,smart,1033.6536260161224,2.9649165773391726
34,"(9, 8)",sentence_beginning_salience,smart,1039.1887283031551,2.9704385089874266
35,"(8, 3)",sentence_beginning_salience,smart,1044.3527110103807,2.9793096446990965
36,"(8, 11)",sentence_beginning_salience,smart,1050.9630732732967,2.9863319873809813
37,"(7, 6)",sentence_beginning_salience,smart,1049.7249552765152,2.988395891189575
38,"(0, 9)",sentence_position_preference,smart,1049.9306298204883,2.990485095977783
39,"(9, 5)",sentence_start_attention,smart,1046.6783498409372,2.985781669616699
40,"(10, 3)",sentence_beginning_salience,smart,1054.8862714270017,2.995381736755371
41,"(0, 5)",lexical_diversity_focus,smart,1054.7986235596086,2.998411889076233
42,"(11, 1)",sentence_beginning_salience,smart,1056.3356368005743,3.0021989965438842
43,"(11, 7)",sentence_beginning_salience,smart,1064.6840337440415,3.0096758222579956
44,"(8, 0)",sentence_start_attention,smart,1067.8669000955322,3.016458969116211
45,"(10, 11)",sentence_start_attention,smart,1073.8949350811126,3.0260496807098387
46,"(6, 2)",sentence_beginning_salience,smart,1077.190238462218,3.0299880743026733
47,"(8, 9)",sentence_start_attention,smart,1082.6545488070105,3.0355418491363526
48,"(4, 4)",sentence_start_attention,smart,1083.7165074442507,3.040343990325928
49,"(8, 6)",sentence_beginning_salience,smart,1086.0315500045717,3.0446880769729616
50,"(5, 11)",sentence_start_attention,smart,1087.9546679606126,3.0489866065979006
51,"(0, 3)",same_attention,smart,1087.9548895427918,3.0498379945755003
52,"(9, 2)",sentence_beginning_salience,smart,1096.6962759374962,3.057110047340393
53,"(5, 8)",sentence_start_attention,smart,1097.7679064119213,3.0600331830978393
54,"(4, 8)",sentence_beginning_salience,smart,1098.1107239462772,3.0628696870803833
