layer,head,program_idx,iou_score
0,0,52,0.471
0,1,44,0.445
0,2,55,0.761
0,3,68,0.671
0,4,33,0.606
0,5,33,0.496
0,6,68,0.581
0,7,70,0.403
0,8,33,0.537
0,9,55,0.804
0,10,55,0.854
0,11,55,0.809
0,12,55,0.766
0,13,33,0.477
0,14,33,0.557
0,15,62,0.503
0,16,68,0.726
0,17,70,0.465
0,18,33,0.505
0,19,33,0.416
0,20,33,0.548
0,21,52,0.649
0,22,2,0.999
0,23,2,0.998
1,0,68,0.72
1,1,68,0.529
1,2,55,0.86
1,3,55,0.759
1,4,55,0.744
1,5,55,0.805
1,6,68,0.493
1,7,55,0.89
1,8,68,0.597
1,9,55,0.779
1,10,55,0.899
1,11,55,0.875
1,12,68,0.753
1,13,55,0.676
1,14,55,0.847
1,15,68,0.544
1,16,55,0.629
1,17,68,0.865
1,18,68,0.912
1,19,68,0.846
1,20,55,0.885
1,21,68,0.545
1,22,68,0.697
1,23,68,0.804
2,0,55,0.782
2,1,55,0.894
2,2,55,0.825
2,3,55,0.686
2,4,55,0.908
2,5,68,0.723
2,6,55,0.923
2,7,55,0.872
2,8,55,0.892
2,9,55,0.828
2,10,55,0.905
2,11,55,0.939
2,12,55,0.856
2,13,55,0.828
2,14,68,0.712
2,15,27,0.984
2,16,2,0.993
2,17,23,0.956
2,18,55,0.777
2,19,55,0.908
2,20,55,0.862
2,21,55,0.811
2,22,55,0.774
2,23,55,0.69
3,0,55,0.754
3,1,55,0.867
3,2,68,0.654
3,3,55,0.907
3,4,68,0.834
3,5,55,0.899
3,6,68,0.688
3,7,68,0.702
3,8,55,0.789
3,9,55,0.805
3,10,55,0.916
3,11,55,0.718
3,12,68,0.805
3,13,68,0.795
3,14,33,0.807
3,15,55,0.771
3,16,68,0.615
3,17,68,0.835
3,18,68,0.602
3,19,55,0.843
3,20,55,0.882
3,21,68,0.535
3,22,68,0.663
3,23,68,0.612
4,0,68,0.739
4,1,55,0.717
4,2,55,0.9
4,3,68,0.619
4,4,33,0.685
4,5,68,0.631
4,6,68,0.689
4,7,33,0.635
4,8,33,0.829
4,9,68,0.682
4,10,68,0.683
4,11,68,0.789
4,12,68,0.646
4,13,68,0.724
4,14,55,0.886
4,15,68,0.745
4,16,55,0.916
4,17,68,0.672
4,18,68,0.584
4,19,68,0.659
4,20,33,0.718
4,21,23,0.959
4,22,55,0.946
4,23,68,0.692
5,0,55,0.827
5,1,68,0.654
5,2,68,0.62
5,3,55,0.693
5,4,55,0.69
5,5,55,0.833
5,6,23,0.983
5,7,2,0.993
5,8,55,0.896
5,9,33,0.595
5,10,68,0.641
5,11,68,0.611
5,12,68,0.535
5,13,68,0.632
5,14,33,0.663
5,15,55,0.887
5,16,55,0.824
5,17,55,0.747
5,18,68,0.757
5,19,68,0.638
5,20,68,0.693
5,21,68,0.585
5,22,68,0.581
5,23,68,0.644
6,0,68,0.694
6,1,55,0.932
6,2,33,0.786
6,3,33,0.657
6,4,68,0.697
6,5,68,0.572
6,6,68,0.676
6,7,68,0.591
6,8,68,0.611
6,9,68,0.526
6,10,55,0.717
6,11,68,0.604
6,12,68,0.686
6,13,68,0.755
6,14,68,0.619
6,15,33,0.512
6,16,33,0.631
6,17,68,0.651
6,18,55,0.922
6,19,55,0.941
6,20,68,0.652
6,21,55,0.806
6,22,55,0.762
6,23,68,0.568
7,0,33,0.519
7,1,68,0.518
7,2,68,0.797
7,3,68,0.621
7,4,55,0.752
7,5,55,0.74
7,6,33,0.508
7,7,68,0.572
7,8,68,0.58
7,9,68,0.489
7,10,68,0.696
7,11,68,0.678
7,12,68,0.682
7,13,68,0.575
7,14,68,0.583
7,15,68,0.535
7,16,70,0.396
7,17,68,0.767
7,18,55,0.704
7,19,55,0.691
7,20,55,0.634
7,21,68,0.656
7,22,68,0.666
7,23,68,0.613
8,0,55,0.77
8,1,68,0.686
8,2,55,0.938
8,3,33,0.516
8,4,68,0.634
8,5,68,0.491
8,6,55,0.927
8,7,55,0.828
8,8,55,0.877
8,9,33,0.558
8,10,55,0.791
8,11,68,0.539
8,12,33,0.588
8,13,68,0.619
8,14,68,0.548
8,15,68,0.463
8,16,68,0.508
8,17,33,0.617
8,18,68,0.672
8,19,68,0.719
8,20,68,0.694
8,21,68,0.601
8,22,68,0.571
8,23,68,0.605
9,0,68,0.545
9,1,68,0.614
9,2,68,0.523
9,3,33,0.819
9,4,68,0.647
9,5,55,0.842
9,6,68,0.463
9,7,62,0.374
9,8,33,0.493
9,9,55,0.732
9,10,55,0.733
9,11,55,0.703
9,12,68,0.612
9,13,68,0.634
9,14,68,0.512
9,15,55,0.726
9,16,68,0.615
9,17,68,0.653
9,18,68,0.618
9,19,55,0.857
9,20,55,0.721
9,21,68,0.69
9,22,68,0.587
9,23,55,0.788
10,0,68,0.501
10,1,68,0.607
10,2,68,0.567
10,3,68,0.786
10,4,68,0.811
10,5,68,0.792
10,6,68,0.611
10,7,33,0.521
10,8,68,0.582
10,9,55,0.718
10,10,68,0.591
10,11,55,0.831
10,12,33,0.404
10,13,68,0.402
10,14,70,0.383
10,15,55,0.709
10,16,68,0.671
10,17,33,0.606
10,18,68,0.501
10,19,68,0.491
10,20,68,0.522
10,21,55,0.94
10,22,55,0.832
10,23,55,0.818
11,0,68,0.471
11,1,68,0.691
11,2,68,0.599
11,3,68,0.589
11,4,68,0.664
11,5,68,0.713
11,6,68,0.586
11,7,68,0.599
11,8,68,0.557
11,9,68,0.59
11,10,33,0.583
11,11,70,0.415
11,12,68,0.496
11,13,33,0.417
11,14,68,0.599
11,15,33,0.718
11,16,33,0.499
11,17,68,0.723
11,18,68,0.492
11,19,68,0.477
11,20,33,0.546
11,21,68,0.535
11,22,33,0.495
11,23,68,0.517
12,0,68,0.624
12,1,68,0.643
12,2,68,0.548
12,3,55,0.861
12,4,55,0.851
12,5,68,0.588
12,6,68,0.577
12,7,68,0.592
12,8,68,0.599
12,9,68,0.64
12,10,68,0.583
12,11,68,0.611
12,12,33,0.522
12,13,68,0.747
12,14,68,0.535
12,15,55,0.82
12,16,55,0.747
12,17,68,0.472
12,18,68,0.702
12,19,55,0.888
12,20,55,0.822
12,21,33,0.481
12,22,33,0.529
12,23,70,0.434
13,0,68,0.621
13,1,68,0.595
13,2,68,0.652
13,3,55,0.708
13,4,68,0.581
13,5,68,0.59
13,6,44,0.402
13,7,68,0.465
13,8,33,0.419
13,9,68,0.59
13,10,33,0.571
13,11,68,0.57
13,12,33,0.761
13,13,55,0.921
13,14,33,0.842
13,15,68,0.529
13,16,55,0.791
13,17,68,0.67
13,18,68,0.59
13,19,68,0.65
13,20,68,0.73
13,21,68,0.657
13,22,55,0.782
13,23,68,0.683
14,0,33,0.433
14,1,23,0.962
14,2,23,0.981
14,3,33,0.48
14,4,70,0.374
14,5,70,0.438
14,6,33,0.498
14,7,33,0.482
14,8,33,0.53
14,9,33,0.495
14,10,68,0.647
14,11,68,0.676
14,12,55,0.817
14,13,55,0.857
14,14,68,0.791
14,15,68,0.565
14,16,68,0.647
14,17,68,0.586
14,18,33,0.556
14,19,33,0.489
14,20,68,0.58
14,21,55,0.77
14,22,27,0.957
14,23,33,0.517
15,0,68,0.717
15,1,55,0.845
15,2,33,0.564
15,3,33,0.527
15,4,33,0.643
15,5,33,0.647
15,6,55,0.876
15,7,55,0.816
15,8,33,0.498
15,9,33,0.526
15,10,33,0.48
15,11,70,0.422
15,12,55,0.906
15,13,55,0.959
15,14,55,0.658
15,15,68,0.555
15,16,33,0.686
15,17,55,0.78
15,18,55,0.895
15,19,55,0.891
15,20,55,0.817
15,21,68,0.688
15,22,55,0.805
15,23,68,0.596
16,0,55,0.931
16,1,68,0.64
16,2,55,0.929
