i,j,Pattern,Score
3,0,cls_attention,0.8826517907712857
3,4,cls_attention,0.8304400169330971
4,2,cls_attention,0.6690698246215133
4,4,cls_attention,0.6307506229045149
4,8,cls_attention,0.6553145543267708
4,10,cls_attention,0.7822958383099724
5,0,cls_attention,0.8284189686407172
5,1,cls_attention,0.9886271765009084
5,5,cls_attention,0.8672564007362213
5,6,cls_attention,0.6447081044364542
5,8,cls_attention,0.6790611268564963
5,9,cls_attention,0.8355432663496041
6,1,cls_attention,0.6601059900742196
6,2,cls_attention,0.7022220499243158
6,3,cls_attention,0.6710313183519578
6,6,cls_attention,0.7041508911353683
6,9,cls_attention,0.9549033651749145
6,10,cls_attention,0.856548297706762
7,1,cls_attention,0.8360295740739963
7,2,cls_attention,0.9772936352521996
7,4,cls_attention,0.6863603525151932
7,6,cls_attention,0.7458908792506258
7,7,cls_attention,0.8239078603453382
7,10,cls_attention,0.9523267524826543
7,11,cls_attention,0.8634534756378384
8,0,cls_attention,0.702685461891336
8,1,cls_attention,0.9075198555165865
8,3,cls_attention,0.7679335780190922
8,6,cls_attention,0.6738811593459277
8,9,cls_attention,0.6879563118453902
8,11,cls_attention,0.7225321770971395
9,0,cls_attention,0.6430738559210057
9,1,cls_attention,0.883448708234796
9,2,cls_attention,0.6932030144255065
9,4,cls_attention,0.8827969141310953
9,5,cls_attention,0.6934007000256118
9,6,cls_attention,0.9395860064395546
9,7,cls_attention,0.6526838188142875
9,8,cls_attention,0.7524250147471938
9,9,cls_attention,0.9626403489869766
9,11,cls_attention,0.9123784531291445
10,0,cls_attention,0.7460381630450347
10,1,cls_attention,0.904420550040116
10,2,cls_attention,0.9091897995671953
10,3,cls_attention,0.7413858212569905
10,5,cls_attention,0.6261669860604159
10,6,cls_attention,0.915991194784556
10,7,cls_attention,0.6112572743553382
10,8,cls_attention,0.9240266927459767
10,10,cls_attention,0.9162059887812428
10,11,cls_attention,0.7279893552832876
11,1,cls_attention,0.7098812732438701
11,2,cls_attention,0.8578036308203988
11,4,cls_attention,0.6333148234345872
11,5,cls_attention,0.8450200177564541
11,6,cls_attention,0.8982328124968277
11,7,cls_attention,0.7250137253986462
11,9,cls_attention,0.899527240916212
0,1,conjunction_resolution,0.8303326097332041
0,3,conjunction_resolution,0.6575870706441358
0,5,conjunction_resolution,0.7048455043309704
0,9,contextual_anchoring,0.6427247317835248
3,0,dominant_subject_attention,0.835668145511448
3,4,dominant_subject_attention,0.7808759479910871
4,2,dominant_subject_attention,0.6229628233443839
4,8,dominant_subject_attention,0.6098628828288907
4,10,dominant_subject_attention,0.7386156949194573
5,0,dominant_subject_attention,0.7820241835304887
5,1,dominant_subject_attention,0.9389174993973676
5,5,dominant_subject_attention,0.8188737146366938
5,8,dominant_subject_attention,0.6331008678990792
5,9,dominant_subject_attention,0.7866508293817506
6,1,dominant_subject_attention,0.6117324083447472
6,2,dominant_subject_attention,0.6535227770663649
6,3,dominant_subject_attention,0.6250844327212713
6,6,dominant_subject_attention,0.6589749450091529
6,9,dominant_subject_attention,0.9059789014545547
6,10,dominant_subject_attention,0.8101373982245518
7,1,dominant_subject_attention,0.7870611148249641
7,2,dominant_subject_attention,0.9278105818244747
7,4,dominant_subject_attention,0.6392110014503406
7,6,dominant_subject_attention,0.6990321075247046
7,7,dominant_subject_attention,0.7755252268467214
7,10,dominant_subject_attention,0.9028252653003457
7,11,dominant_subject_attention,0.8143070240253697
8,0,dominant_subject_attention,0.6579905620131746
8,1,dominant_subject_attention,0.8588173190909685
8,3,dominant_subject_attention,0.7201002979463259
8,6,dominant_subject_attention,0.6295558725637326
8,9,dominant_subject_attention,0.6420216611530533
8,11,dominant_subject_attention,0.6741906820852289
9,0,dominant_subject_attention,0.602464648843276
9,1,dominant_subject_attention,0.8353373571861112
9,2,dominant_subject_attention,0.6481468681026192
9,4,dominant_subject_attention,0.8347384298518284
9,5,dominant_subject_attention,0.6508212488237289
9,6,dominant_subject_attention,0.8904691622714321
9,7,dominant_subject_attention,0.605549978982178
9,8,dominant_subject_attention,0.706471760609274
9,9,dominant_subject_attention,0.9132932062526696
9,11,dominant_subject_attention,0.8631986063513523
10,0,dominant_subject_attention,0.6977749052652303
10,1,dominant_subject_attention,0.856401476787415
10,2,dominant_subject_attention,0.8602056009992481
10,3,dominant_subject_attention,0.6948343284324047
10,6,dominant_subject_attention,0.8669320639044379
10,8,dominant_subject_attention,0.8762279313552321
10,10,dominant_subject_attention,0.8671013288025434
10,11,dominant_subject_attention,0.6828908742333845
11,1,dominant_subject_attention,0.6641681180628778
11,2,dominant_subject_attention,0.8099375986139924
11,5,dominant_subject_attention,0.7971564802791812
11,6,dominant_subject_attention,0.8493784341437968
11,7,dominant_subject_attention,0.6790416138308405
11,9,dominant_subject_attention,0.8514471310506572
3,0,first_token_domination,0.8826517907712857
3,4,first_token_domination,0.8304400169330971
4,2,first_token_domination,0.6690698246215133
4,4,first_token_domination,0.6307506229045149
4,8,first_token_domination,0.6553145543267708
4,10,first_token_domination,0.7822958383099724
5,0,first_token_domination,0.8284189686407172
5,1,first_token_domination,0.9886271765009084
5,5,first_token_domination,0.8672564007362213
5,6,first_token_domination,0.6447081044364542
5,8,first_token_domination,0.6790611268564963
5,9,first_token_domination,0.8355432663496041
6,1,first_token_domination,0.6601059900742196
6,2,first_token_domination,0.7022220499243158
6,3,first_token_domination,0.6710313183519578
6,6,first_token_domination,0.7041508911353683
6,9,first_token_domination,0.9549033651749145
6,10,first_token_domination,0.856548297706762
7,1,first_token_domination,0.8360295740739963
7,2,first_token_domination,0.9772936352521996
7,4,first_token_domination,0.6863603525151932
7,6,first_token_domination,0.7458908792506258
7,7,first_token_domination,0.8239078603453382
7,10,first_token_domination,0.9523267524826543
7,11,first_token_domination,0.8634534756378384
8,0,first_token_domination,0.702685461891336
8,1,first_token_domination,0.9075198555165865
8,3,first_token_domination,0.7679335780190922
8,6,first_token_domination,0.6738811593459277
8,9,first_token_domination,0.6879563118453902
8,11,first_token_domination,0.7225321770971395
9,0,first_token_domination,0.6430738559210057
9,1,first_token_domination,0.883448708234796
9,2,first_token_domination,0.6932030144255065
9,4,first_token_domination,0.8827969141310953
9,5,first_token_domination,0.6934007000256118
9,6,first_token_domination,0.9395860064395546
9,7,first_token_domination,0.6526838188142875
9,8,first_token_domination,0.7524250147471938
9,9,first_token_domination,0.9626403489869766
9,11,first_token_domination,0.9123784531291445
10,0,first_token_domination,0.7460381630450347
10,1,first_token_domination,0.904420550040116
10,2,first_token_domination,0.9091897995671953
10,3,first_token_domination,0.7413858212569905
10,5,first_token_domination,0.6261669860604159
10,6,first_token_domination,0.915991194784556
10,7,first_token_domination,0.6112572743553382
10,8,first_token_domination,0.9240266927459767
10,10,first_token_domination,0.9162059887812428
10,11,first_token_domination,0.7279893552832876
11,1,first_token_domination,0.7098812732438701
11,2,first_token_domination,0.8578036308203988
11,4,first_token_domination,0.6333148234345872
11,5,first_token_domination,0.8450200177564541
11,6,first_token_domination,0.8982328124968277
11,7,first_token_domination,0.7250137253986462
11,9,first_token_domination,0.899527240916212
3,0,head_initial_token_emphasis,0.8328904009019814
3,4,head_initial_token_emphasis,0.780678627063793
4,2,head_initial_token_emphasis,0.6193084347522092
4,8,head_initial_token_emphasis,0.6055531644574667
4,10,head_initial_token_emphasis,0.7325344484406684
5,0,head_initial_token_emphasis,0.778657578771413
5,1,head_initial_token_emphasis,0.9388657866316042
5,5,head_initial_token_emphasis,0.8174950108669172
5,8,head_initial_token_emphasis,0.6292997369871922
5,9,head_initial_token_emphasis,0.7857818764803
6,1,head_initial_token_emphasis,0.6103446002049154
6,2,head_initial_token_emphasis,0.6524606600550116
6,3,head_initial_token_emphasis,0.6212699284826537
6,6,head_initial_token_emphasis,0.6543895012660642
6,9,head_initial_token_emphasis,0.9051419753056101
6,10,head_initial_token_emphasis,0.8067869078374578
7,1,head_initial_token_emphasis,0.7862681842046921
7,2,head_initial_token_emphasis,0.9275322453828955
7,4,head_initial_token_emphasis,0.6365989626458891
7,6,head_initial_token_emphasis,0.6961294893813214
7,7,head_initial_token_emphasis,0.7741464704760341
7,10,head_initial_token_emphasis,0.9025653626133501
7,11,head_initial_token_emphasis,0.8136920857685342
8,0,head_initial_token_emphasis,0.6529240720220318
8,1,head_initial_token_emphasis,0.8577584656472822
8,3,head_initial_token_emphasis,0.7181721881497879
8,6,head_initial_token_emphasis,0.6241197694766236
8,9,head_initial_token_emphasis,0.638194921976086
8,11,head_initial_token_emphasis,0.6727707872278353
9,1,head_initial_token_emphasis,0.8336873183654919
9,2,head_initial_token_emphasis,0.6434416245562022
9,4,head_initial_token_emphasis,0.8330355242617912
9,5,head_initial_token_emphasis,0.6436393101563077
9,6,head_initial_token_emphasis,0.8898246165702505
9,7,head_initial_token_emphasis,0.6029224289449834
9,8,head_initial_token_emphasis,0.7026636248778897
9,9,head_initial_token_emphasis,0.9128789591176725
9,11,head_initial_token_emphasis,0.8626170632598403
10,0,head_initial_token_emphasis,0.6962767731757306
10,1,head_initial_token_emphasis,0.8546591601708119
10,2,head_initial_token_emphasis,0.8594284096978911
10,3,head_initial_token_emphasis,0.6916244313876864
10,6,head_initial_token_emphasis,0.8662298049152518
10,8,head_initial_token_emphasis,0.8742653028766725
10,10,head_initial_token_emphasis,0.8664445989119387
10,11,head_initial_token_emphasis,0.6782279654139832
11,1,head_initial_token_emphasis,0.660119883374566
11,2,head_initial_token_emphasis,0.8080422409510946
11,5,head_initial_token_emphasis,0.79525862788715
11,6,head_initial_token_emphasis,0.8484714226275236
11,7,head_initial_token_emphasis,0.6752523355293419
