k,head,program,strategy,increase
1,"(2, 0)",next_attention,best_fit,-3.1965389002424573
2,"(2, 9)",next_attention,best_fit,65.44196430375544
3,"(1, 6)",cls_attention,best_fit,97.10383311784953
4,"(8, 2)",eos_attention,best_fit,87.70139135588626
5,"(1, 9)",relative_position_attention,best_fit,87.51355945495926
6,"(7, 6)",eos_attention,best_fit,86.9316788822378
7,"(5, 1)",eos_attention,best_fit,89.17545115181689
8,"(1, 8)",relative_position_attention,best_fit,86.48264745715024
9,"(4, 3)",pronoun_reference,best_fit,82.09431725103356
10,"(7, 7)",eos_attention,best_fit,81.25222809463791
11,"(8, 6)",eos_attention,best_fit,76.15089497201735
12,"(3, 1)",relative_position_attention,best_fit,75.0620890774288
13,"(3, 7)",relative_position_attention,best_fit,73.404205474395
14,"(7, 3)",eos_attention,best_fit,71.65950406318939
15,"(2, 3)",relative_position_attention,best_fit,68.30074921379838
16,"(2, 5)",relative_position_attention,best_fit,71.372434325665
17,"(8, 5)",eos_attention,best_fit,74.7971182564456
18,"(9, 9)",eos_attention,best_fit,63.9385855077843
19,"(0, 9)",relative_position_attention,best_fit,57.07532212934027
20,"(7, 11)",eos_attention,best_fit,55.91962310765147
21,"(3, 5)",previous_attention,best_fit,72.16444709406564
22,"(6, 3)",eos_attention,best_fit,84.85044186177481
23,"(3, 4)",relative_position_attention,best_fit,83.73430350769391
24,"(1, 0)",relative_position_attention,best_fit,74.89608338285299
25,"(5, 6)",complement_adjunct_relationship,best_fit,81.72970663806149
26,"(5, 5)",eos_attention,best_fit,83.41347137713208
27,"(3, 6)",relative_position_attention,best_fit,80.98686110537821
28,"(2, 7)",relative_position_attention,best_fit,75.43669811138832
29,"(4, 9)",relative_position_attention,best_fit,75.04492325571253
30,"(1, 2)",relative_position_attention,best_fit,79.40078475051004
