i,j,Pattern,Score
0,7,next_attention,0.3941839468618108
0,0,previous_attention,0.39834570064120467
0,1,same_attention,0.4743323860813553
0,5,same_attention,0.4838868325388844
1,6,punctuation_attention,0.5326496692684325
2,3,punctuation_attention,0.5170528259023042
2,6,punctuation_attention,0.5038768105086614
2,7,punctuation_attention,0.5489481007177137
3,3,punctuation_attention,0.5351823088230152
3,6,punctuation_attention,0.4243679265898699
4,3,punctuation_attention,0.5466107292610504
4,6,punctuation_attention,0.5152894761873164
4,7,punctuation_attention,0.5274492561641683
5,6,punctuation_attention,0.4839440145880081
1,2,last_token_attention,0.5130031703134985
1,3,last_token_attention,0.5367443052914356
1,5,last_token_attention,0.5011539973487995
2,2,last_token_attention,0.48406594577485834
2,3,last_token_attention,0.4701809883890947
2,5,last_token_attention,0.5048348846405715
2,6,last_token_attention,0.5151367697388717
3,2,last_token_attention,0.5381472130185048
3,3,last_token_attention,0.5006987680143358
3,6,last_token_attention,0.45820102798014795
4,6,last_token_attention,0.5169578148800944
5,2,last_token_attention,0.4826211635668022
5,3,last_token_attention,0.5295136889272858
5,6,last_token_attention,0.5026203546105783
0,1,repeated_attention,0.44205282972305915
0,5,repeated_attention,0.4658065827806035
0,2,uniform_attention,0.4967898290447904
0,3,uniform_attention,0.4982651152942207
0,4,uniform_attention,0.5297865366796336
0,6,uniform_attention,0.5288723243044441
2,3,uniform_attention,0.5294486422372977
2,4,uniform_attention,0.5419947755048057
3,2,uniform_attention,0.4538532477161604
3,3,uniform_attention,0.47255346798104314
4,2,uniform_attention,0.4092506935772896
4,3,uniform_attention,0.39378705800826336
5,3,uniform_attention,0.4667247066640409
5,4,uniform_attention,0.519834708963757
0,3,eos_attention,0.5212630952542766
1,0,eos_attention,0.5423225007969057
1,1,eos_attention,0.45150474633665033
1,2,eos_attention,0.394100599136797
1,3,eos_attention,0.5218480534951035
1,4,eos_attention,0.5372466249413924
1,5,eos_attention,0.3445067819207993
1,6,eos_attention,0.5091208143274417
2,0,eos_attention,0.5363117596975878
2,1,eos_attention,0.4944378495790242
2,2,eos_attention,0.36697545740308135
2,3,eos_attention,0.44884924554057176
2,5,eos_attention,0.3773786356697041
2,6,eos_attention,0.38536917568906554
2,7,eos_attention,0.5172977920076316
3,0,eos_attention,0.5149986189506098
3,1,eos_attention,0.4599922891352003
3,2,eos_attention,0.5162306801502494
3,3,eos_attention,0.4886928891258779
3,5,eos_attention,0.531053561981792
3,6,eos_attention,0.44185958248893253
3,7,eos_attention,0.4946109848734925
4,1,eos_attention,0.49923359066935086
4,5,eos_attention,0.5147523536062282
4,6,eos_attention,0.40424721439983113
4,7,eos_attention,0.4999003635962177
5,1,eos_attention,0.4839806011847423
5,2,eos_attention,0.2719135657684287
5,3,eos_attention,0.5095646497001776
5,5,eos_attention,0.5057942701966651
5,6,eos_attention,0.4345015846230706
5,7,eos_attention,0.43103568139946924
0,3,special_token_attention,0.5212630952542766
1,0,special_token_attention,0.5423225007969057
1,1,special_token_attention,0.45150474633665033
1,2,special_token_attention,0.394100599136797
1,3,special_token_attention,0.5218480534951035
1,4,special_token_attention,0.5372466249413924
1,5,special_token_attention,0.3445067819207993
1,6,special_token_attention,0.5091208143274417
2,0,special_token_attention,0.5363117596975878
2,1,special_token_attention,0.4944378495790242
2,2,special_token_attention,0.36697545740308135
2,3,special_token_attention,0.44884924554057176
2,5,special_token_attention,0.3773786356697041
2,6,special_token_attention,0.38536917568906554
2,7,special_token_attention,0.5172977920076316
3,0,special_token_attention,0.5149986189506098
3,1,special_token_attention,0.4599922891352003
3,2,special_token_attention,0.5162306801502494
3,3,special_token_attention,0.4886928891258779
3,5,special_token_attention,0.531053561981792
3,6,special_token_attention,0.44185958248893253
3,7,special_token_attention,0.4946109848734925
4,1,special_token_attention,0.49923359066935086
4,5,special_token_attention,0.5147523536062282
4,6,special_token_attention,0.40424721439983113
4,7,special_token_attention,0.4999003635962177
5,1,special_token_attention,0.4839806011847423
5,2,special_token_attention,0.2719135657684287
5,3,special_token_attention,0.5095646497001776
5,5,special_token_attention,0.5057942701966651
5,6,special_token_attention,0.4345015846230706
5,7,special_token_attention,0.43103568139946924
0,2,adverbial_modulation,0.5263880502106051
0,3,adverbial_modulation,0.5297122316154385
3,2,adverbial_modulation,0.4955152636382197
3,3,adverbial_modulation,0.5053284349707992
4,2,adverbial_modulation,0.45086572391126756
4,3,adverbial_modulation,0.4176159811968681
5,3,adverbial_modulation,0.49580877606392715
5,4,adverbial_modulation,0.5428324366766428
0,2,appositive_phrase_attention,0.5206414248929778
0,3,appositive_phrase_attention,0.5229981423315507
2,3,appositive_phrase_attention,0.5448233917356363
3,2,appositive_phrase_attention,0.4883434301672051
3,3,appositive_phrase_attention,0.498591676166858
4,2,appositive_phrase_attention,0.4421370324723529
4,3,appositive_phrase_attention,0.4087914581295987
5,3,appositive_phrase_attention,0.4887057394231663
5,4,appositive_phrase_attention,0.5378166935701446
3,2,compound_modifier_attention,0.5379356239645923
3,3,compound_modifier_attention,0.5490783746969392
4,2,compound_modifier_attention,0.499166208930486
4,3,compound_modifier_attention,0.46956173131130485
5,3,compound_modifier_attention,0.5349694683658303
0,2,compound_word_attention_pattern,0.5206414248929778
0,3,compound_word_attention_pattern,0.5229981423315507
2,3,compound_word_attention_pattern,0.5448233917356363
3,2,compound_word_attention_pattern,0.4883434301672051
3,3,compound_word_attention_pattern,0.498591676166858
4,2,compound_word_attention_pattern,0.4421370324723529
4,3,compound_word_attention_pattern,0.4087914581295987
5,3,compound_word_attention_pattern,0.4887057394231663
5,4,compound_word_attention_pattern,0.5378166935701446
0,2,conjunction_based_grouping,0.5209686642786978
0,3,conjunction_based_grouping,0.5234041107171205
2,3,conjunction_based_grouping,0.5451183407410255
3,2,conjunction_based_grouping,0.48871804183985434
3,3,conjunction_based_grouping,0.4989808219341059
4,2,conjunction_based_grouping,0.44251519759137603
4,3,conjunction_based_grouping,0.4091175926745948
5,3,conjunction_based_grouping,0.4890901116124734
