i,j,Pattern,Score
0,7,previous_attention,0.5483468691577064
1,0,previous_attention,0.5405340744669046
2,2,previous_attention,0.3967831138356478
2,4,previous_attention,0.5292600091283675
2,5,previous_attention,0.5407196176319758
2,9,previous_attention,0.5353545487276604
3,2,previous_attention,0.4934090860803749
3,3,previous_attention,0.5389448463779039
3,7,previous_attention,0.5065180575053695
3,8,previous_attention,0.5436016383630975
4,11,previous_attention,0.04370740358462493
7,0,previous_attention,0.5350734568068125
0,1,same_attention,0.15062787274815873
0,3,same_attention,0.25367084172958587
0,4,same_attention,0.4630519576815052
0,5,same_attention,0.2494049874101595
1,11,same_attention,0.33392418367718857
4,7,same_attention,0.457110619276308
0,1,repeated_attention,0.14990671021954566
0,3,repeated_attention,0.2883066387797961
0,4,repeated_attention,0.4696765410992258
0,5,repeated_attention,0.24083834041836694
1,11,repeated_attention,0.32856090232350055
4,7,repeated_attention,0.4823030288042493
0,1,pos_alignment,0.4695499293749939
0,3,pos_alignment,0.5336411349562988
0,5,pos_alignment,0.5235135694157591
1,11,pos_alignment,0.5216531370694001
3,9,cls_attention,0.5086976740133431
3,9,cls_attention,0.5086976740133431
3,9,negation_attention,0.5332818942095721
3,9,previous_attention,0.5321333415290311
3,9,cls_attention,0.5086976740133431
3,9,previous_attention,0.5321333415290311
3,9,cls_attention,0.5086976740133431
3,9,previous_attention,0.5365817529275901
3,9,cls_attention,0.4921965488182295
