k,head,program,strategy,increase,kl_div
1,"(7, 1)",initial_token_attention,baseline,-0.8294754606128782,0.04914304827339947
2,"(11, 5)",initial_token_attention,baseline,7.4831907239126,0.33707429030910135
3,"(9, 4)",initial_token_attention,baseline,9.852239706386545,0.4130734797939658
4,"(7, 6)",sentence_initial_dominance,baseline,11.196093754766242,0.4949258885718882
5,"(6, 2)",sentence_initial_dominance,baseline,12.020120837560675,0.5648031930625439
6,"(11, 1)",sentence_initial_dominance,baseline,102.71008648988996,2.005534173846245
7,"(10, 10)",initial_token_attention,baseline,105.04318155206907,2.030151360034943
8,"(11, 2)",initial_token_attention,baseline,262.9722478524656,2.318813269138336
9,"(10, 2)",initial_token_attention,baseline,254.07143536705954,2.2999764943122862
10,"(6, 6)",initial_token_attention,baseline,267.05511880427275,2.391118071079254
11,"(0, 1)",repeated_attention,baseline,783.3081462969178,3.6156008434295654
12,"(5, 1)",cls_attention,baseline,794.228805352563,3.60684796333313
13,"(8, 1)",initial_token_attention,baseline,793.7057287255714,3.619007272720337
14,"(4, 11)",previous_attention,baseline,795.140894358285,3.627040319442749
15,"(7, 11)",initial_token_attention,baseline,785.4237431989989,3.623675112724304
16,"(4, 10)",initial_token_attention,baseline,792.2277427668017,3.6398742818832397
17,"(10, 8)",initial_token_attention,baseline,786.5032747436551,3.6328562021255495
18,"(5, 9)",sentence_initial_dominance,baseline,778.7191873295476,3.621548223495483
19,"(9, 1)",initial_token_attention,baseline,773.4933293592065,3.631465878486633
20,"(6, 9)",cls_attention,baseline,754.7327027846655,3.632756953239441
21,"(7, 2)",cls_attention,baseline,753.2703755245457,3.6373595714569094
22,"(5, 5)",initial_token_attention,baseline,744.4627018333699,3.6509243297576903
23,"(8, 11)",sentence_initial_dominance,baseline,727.0811360940169,3.6353421878814696
24,"(10, 0)",initial_token_attention,baseline,718.4628521419042,3.6330483961105347
25,"(11, 6)",initial_token_attention,baseline,1528.969569831836,3.7518586826324465
26,"(10, 1)",initial_token_attention,baseline,1518.2661283727543,3.7495404720306396
27,"(10, 6)",initial_token_attention,baseline,1519.9199163823534,3.7450102853775022
28,"(7, 10)",initial_token_attention,baseline,1520.1887496446602,3.739630823135376
29,"(3, 4)",initial_token_attention,baseline,1520.721291825804,3.73604528427124
30,"(9, 8)",sentence_initial_dominance,baseline,1501.0256703100179,3.722047138214111
31,"(8, 3)",initial_token_attention,baseline,1494.9476350849236,3.712079005241394
32,"(9, 11)",initial_token_attention,baseline,1477.3505579099522,3.7101054334640504
33,"(7, 7)",initial_token_attention,baseline,1459.6349981877793,3.7150042629241944
34,"(5, 0)",initial_token_attention,baseline,1452.4884222597268,3.7143194103240966
35,"(11, 9)",initial_token_attention,baseline,1447.5629902854132,3.723593592643738
36,"(6, 10)",initial_token_attention,baseline,1457.5269746077156,3.7321047163009644
37,"(10, 3)",sentence_initial_dominance,baseline,1447.7473561497093,3.7362111902236936
38,"(8, 0)",sentence_initial_dominance,baseline,1439.2833086429073,3.7416080904006956
39,"(9, 6)",initial_token_attention,baseline,1439.370765108829,3.743487296104431
40,"(3, 0)",initial_token_attention,baseline,1447.0837430599456,3.752918176651001
41,"(9, 5)",sentence_initial_dominance,baseline,1414.09790022744,3.7462902879714965
42,"(11, 7)",initial_token_attention,baseline,1389.9721486265232,3.739713263511658
43,"(9, 9)",sentence_start_dominance,baseline,1380.373440028928,3.743420095443726
