k,head,program,strategy,increase,kl_div
1,"(3, 6)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
2,"(4, 0)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
3,"(2, 5)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
4,"(2, 9)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
5,"(4, 1)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
6,"(6, 8)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
7,"(2, 8)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
8,"(11, 8)",contextual_anchoring,sanity_check,0.0,-2.5177241696480856e-08
9,"(5, 2)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
10,"(3, 11)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
11,"(2, 3)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
12,"(9, 3)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
13,"(0, 7)",contextual_anchoring,sanity_check,0.0,-2.5177241696480856e-08
14,"(7, 8)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
15,"(6, 0)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
16,"(1, 0)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
17,"(6, 11)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
18,"(1, 5)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
19,"(5, 4)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
20,"(2, 2)",previous_attention,sanity_check,0.0,-2.5177241696480856e-08
21,"(8, 5)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
22,"(4, 6)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
23,"(3, 3)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
24,"(7, 0)",token_reinforcement,sanity_check,0.0,-2.5177241696480856e-08
25,"(3, 1)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
26,"(4, 5)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
27,"(4, 9)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
28,"(3, 5)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
29,"(6, 7)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
30,"(2, 0)",sentence_position_preference,sanity_check,0.0,-2.5177241696480856e-08
31,"(2, 6)",sentence_start_attention,sanity_check,0.0,-2.5177241696480856e-08
32,"(1, 3)",initial_token_reference_attention,sanity_check,0.0,-2.5177241696480856e-08
33,"(8, 7)",token_reinforcement,sanity_check,0.0,-2.5177241696480856e-08
