i,j,Pattern,Score
2,10,L0H0,0.232
1,3,L0H0,0.239
2,7,L0H0,0.251
0,0,L0H0,0.21981436523275666
0,1,L0H1,0.112
0,3,L0H1,0.218
0,5,L0H1,0.238
0,1,L0H1,0.038955681323626666
6,8,L0H2,0.256
5,4,L0H2,0.258
6,5,L0H2,0.264
0,2,L0H2,0.2204226375442633
0,3,L0H3,0.289
4,7,L0H3,0.293
0,4,L0H3,0.31
0,3,L0H3,0.20328331798383736
3,10,L0H4,0.292
5,11,L0H4,0.321
5,6,L0H4,0.323
0,4,L0H4,0.39248116415975365
1,11,L0H5,0.271
0,3,L0H5,0.293
4,7,L0H5,0.296
0,5,L0H5,0.2305006703437597
1,3,L0H6,0.325
1,4,L0H6,0.338
2,10,L0H6,0.34
0,6,L0H6,0.2520941701969527
2,7,L0H7,0.229
2,10,L0H7,0.25
0,7,L0H7,0.251
0,7,L0H7,0.18703005007099138
0,8,L0H8,0.269
0,10,L0H8,0.297
1,5,L0H8,0.299
0,8,L0H8,0.21260134467702654
0,7,L0H9,0.341
2,2,L0H9,0.356
2,5,L0H9,0.385
0,9,L0H9,0.336470063951728
3,10,L0H10,0.192
2,11,L0H10,0.211
1,3,L0H10,0.218
0,10,L0H10,0.1516681931441403
3,10,L0H11,0.184
2,11,L0H11,0.187
1,4,L0H11,0.195
0,11,L0H11,0.19953921997509783
3,3,L1H0,0.311
7,0,L1H0,0.324
3,7,L1H0,0.331
1,0,L1H0,0.22473308275059609
2,4,L1H1,0.319
3,8,L1H1,0.327
2,5,L1H1,0.33
1,1,L1H1,0.18334043300151934
1,3,L1H2,0.327
2,6,L1H2,0.327
3,10,L1H2,0.358
1,2,L1H2,0.30346574182692937
3,10,L1H3,0.178
2,11,L1H3,0.205
6,5,L1H3,0.216
1,3,L1H3,0.1158519934459919
2,9,L1H4,0.269
0,7,L1H4,0.275
3,7,L1H4,0.278
1,4,L1H4,0.23327166674298633
3,10,L1H5,0.25
1,3,L1H5,0.266
2,11,L1H5,0.282
1,5,L1H5,0.23674553802452294
3,10,L1H6,0.206
6,6,L1H6,0.22
2,11,L1H6,0.223
1,6,L1H6,0.24274708351210572
3,10,L1H7,0.264
2,11,L1H7,0.266
2,6,L1H7,0.27
1,7,L1H7,0.21213214977141076
3,10,L1H8,0.228
5,11,L1H8,0.229
2,6,L1H8,0.244
1,8,L1H8,0.17979890681928723
1,8,L1H9,0.264
