k,head,program,strategy,increase,kl_div
1,"(5, 1)",cls_attention,baseline,1.2023174998575366,0.05497698885854334
2,"(4, 11)",previous_attention,baseline,3.368227045714136,0.11916010063258
3,"(7, 2)",cls_attention,baseline,3.313128616852211,0.1890871931426227
4,"(6, 9)",cls_attention,baseline,4.418351553307211,0.3153428653720766
5,"(9, 9)",sentence_beginning_salience,baseline,3.8784919469660464,0.41517293780110776
6,"(7, 10)",sentence_beginning_salience,baseline,4.618158032329175,0.45842882110737265
7,"(9, 6)",sentence_beginning_salience,baseline,5.690893237570885,0.4677976247668266
8,"(10, 10)",sentence_beginning_salience,baseline,8.211266345009292,0.5295465523004532
9,"(10, 8)",sentence_beginning_salience,baseline,9.435326117579384,0.5687191228754819
10,"(9, 11)",sentence_beginning_salience,baseline,8.60936437949425,0.6540449070557952
11,"(8, 1)",sentence_beginning_salience,baseline,9.085887236989608,0.7327445071935653
12,"(10, 6)",sentence_beginning_salience,baseline,10.317736479055906,0.8090547153353691
13,"(11, 6)",sentence_beginning_salience,baseline,734.5147851008097,2.875152893066406
14,"(10, 2)",sentence_beginning_salience,baseline,694.1378683700532,2.7954254865646364
15,"(10, 1)",sentence_beginning_salience,baseline,686.1222452719355,2.7767786860466
16,"(9, 4)",sentence_beginning_salience,baseline,686.3609742771156,2.776360013484955
17,"(3, 0)",sentence_beginning_salience,baseline,691.9943557987303,2.79061829328537
18,"(11, 9)",sentence_beginning_salience,baseline,687.9746726574937,2.7981093168258666
19,"(5, 5)",sentence_beginning_salience,baseline,691.7056294521973,2.831718201637268
20,"(7, 11)",sentence_beginning_salience,baseline,691.1452037301055,2.8692652487754824
21,"(0, 1)",lexical_diversity_focus,baseline,1260.8193976206855,3.668908505439758
22,"(9, 1)",sentence_beginning_salience,baseline,1252.6462512021205,3.6642493438720702
23,"(11, 2)",sentence_beginning_salience,baseline,1540.4183832330327,3.7496394968032836
24,"(6, 10)",sentence_beginning_salience,baseline,1546.253398692536,3.7517282247543333
25,"(3, 4)",sentence_beginning_salience,baseline,1542.3144068548704,3.7432636404037476
26,"(7, 7)",sentence_beginning_salience,baseline,1516.485668991134,3.759005513191223
27,"(11, 5)",sentence_beginning_salience,baseline,1489.027090438182,3.7569264650344847
28,"(5, 0)",sentence_beginning_salience,baseline,1482.5451325994939,3.7509523916244505
29,"(5, 9)",sentence_beginning_salience,baseline,1470.665869891473,3.744832253456116
30,"(7, 1)",sentence_beginning_salience,baseline,1476.2007257014907,3.756287250518799
31,"(6, 6)",sentence_start_attention,baseline,1486.7361362980394,3.750414309501648
32,"(4, 10)",sentence_beginning_salience,baseline,1503.0771334531112,3.766955943107605
33,"(10, 0)",sentence_beginning_salience,baseline,1485.225377373478,3.7595366859436035
34,"(9, 8)",sentence_beginning_salience,baseline,1463.0206898880926,3.743497204780579
35,"(8, 3)",sentence_beginning_salience,baseline,1459.593421674245,3.741082639694214
36,"(8, 11)",sentence_beginning_salience,baseline,1431.7925820643036,3.7259972047805787
37,"(7, 6)",sentence_beginning_salience,baseline,1434.7156768447776,3.73932834148407
38,"(0, 9)",sentence_position_preference,baseline,1472.5938651600175,3.733264517784119
39,"(9, 5)",sentence_start_attention,baseline,1435.2147452817144,3.7286585187911987
40,"(10, 3)",sentence_beginning_salience,baseline,1428.6305080930595,3.741671290397644
41,"(0, 5)",lexical_diversity_focus,baseline,2038.2601825631061,4.101044611930847
42,"(11, 1)",sentence_beginning_salience,baseline,1974.9963311125125,4.003773136138916
43,"(11, 7)",sentence_beginning_salience,baseline,1878.8800996854645,3.926954679489136
44,"(8, 0)",sentence_start_attention,baseline,1878.6673928796401,3.938787569999695
45,"(10, 11)",sentence_start_attention,baseline,1861.5467639004416,3.9517473793029785
46,"(6, 2)",sentence_beginning_salience,baseline,1867.7953129137497,3.956828498840332
47,"(8, 9)",sentence_start_attention,baseline,1853.1026620572825,3.967172565460205
48,"(4, 4)",sentence_start_attention,baseline,1855.8762712794226,3.972022576332092
49,"(8, 6)",sentence_beginning_salience,baseline,1864.8171295574568,3.9731812381744387
50,"(5, 11)",sentence_start_attention,baseline,1871.1328710028029,3.985329575538635
51,"(0, 3)",same_attention,baseline,1850.3404876566804,3.9620972442626954
52,"(9, 2)",sentence_beginning_salience,baseline,1874.980175296795,3.9907182121276854
53,"(5, 8)",sentence_start_attention,baseline,1861.7043127202983,3.982613453865051
54,"(4, 8)",sentence_beginning_salience,baseline,1846.3130339250276,3.9804946088790896
