i,j,Pattern,Score
0,10,next_attention,0.37938183614318954
1,1,next_attention,0.39736253701633373
2,0,next_attention,0.01493380387237959
2,9,next_attention,0.022698036401649
5,9,next_attention,0.4298338841818767
3,9,next_attention,0.43461529874693833
0,10,next_attention,0.37938183614318954
1,1,next_attention,0.39736253701633373
2,0,next_attention,0.01493380387237959
2,9,next_attention,0.022698036401649
5,9,next_attention,0.4298338841818767
3,9,next_attention,0.43461529874693833
0,2,previous_attention,0.4777609525064076
1,4,previous_attention,0.3604970929651347
3,5,previous_attention,0.3123655792454904
0,3,previous_attention,0.48428482202395895
6,11,previous_attention,0.478570030337551
7,4,previous_attention,0.4576606202209941
2,6,same_attention,0.47054402684370294
4,3,punctuation_attention,0.4654208388970596
4,8,punctuation_attention,0.4780594935453622
5,1,punctuation_attention,0.4594877915452363
5,5,punctuation_attention,0.44406311579352714
5,6,punctuation_attention,0.49441357277388487
6,3,punctuation_attention,0.4773845626683796
6,10,punctuation_attention,0.49569807747644345
7,3,punctuation_attention,0.4551979298519169
7,6,punctuation_attention,0.4763910376282557
7,7,punctuation_attention,0.45823021496488264
7,8,punctuation_attention,0.46492165897948146
7,9,punctuation_attention,0.4776388212091804
7,11,punctuation_attention,0.4696113160172933
8,1,punctuation_attention,0.46387570515378707
8,2,punctuation_attention,0.44984406685916956
8,3,punctuation_attention,0.4902073713353676
8,5,punctuation_attention,0.4992768725746246
8,6,punctuation_attention,0.4428786459698306
8,11,punctuation_attention,0.4972712809098072
9,3,punctuation_attention,0.4354326898456737
9,6,punctuation_attention,0.4360436396987941
9,9,punctuation_attention,0.44361501620702876
10,3,punctuation_attention,0.4167233131901273
3,2,punctuation_attention,0.4592674089401763
4,4,punctuation_attention,0.45428282213800714
5,2,punctuation_attention,0.49205379442882297
5,4,punctuation_attention,0.47205348876152653
5,11,punctuation_attention,0.43887858207938135
6,1,punctuation_attention,0.49838772168182055
6,8,punctuation_attention,0.44834561914251303
8,0,punctuation_attention,0.49122826664061314
8,4,punctuation_attention,0.48519647426777157
9,0,punctuation_attention,0.49814050709590707
9,11,punctuation_attention,0.4784600065129386
10,0,punctuation_attention,0.473022041546272
10,1,punctuation_attention,0.4294968300620018
10,4,punctuation_attention,0.4831317896887777
10,5,punctuation_attention,0.4110152962885585
10,7,punctuation_attention,0.46096576050166455
10,8,punctuation_attention,0.4397871532655616
10,9,punctuation_attention,0.45822673850043266
11,0,punctuation_attention,0.33810163152456596
11,1,punctuation_attention,0.40602680946059816
11,2,punctuation_attention,0.4356963177870392
11,3,punctuation_attention,0.4405847251765529
11,4,punctuation_attention,0.45305430419618564
11,5,punctuation_attention,0.43785366386967106
11,6,punctuation_attention,0.4258979307676422
11,7,punctuation_attention,0.32525076172514417
11,10,punctuation_attention,0.37468884544036957
11,11,punctuation_attention,0.35522942755616704
5,7,punctuation_attention,0.4882313821626975
5,8,punctuation_attention,0.4796459874032566
8,9,punctuation_attention,0.48674383760672
10,2,punctuation_attention,0.4672113442225657
10,6,punctuation_attention,0.4828253225913546
11,9,punctuation_attention,0.4820076190577448
9,4,punctuation_attention,0.48630352125179893
10,11,punctuation_attention,0.49560071930334354
2,6,repeated_attention,0.4465802525827177
1,11,repeated_attention,0.48761885621003387
2,6,pos_alignment,0.4650714134073365
2,0,dependencies,0.4741724455290295
2,9,dependencies,0.4849214858605562
3,9,next_attention,0.4617385651187439
3,9,dependencies,0.533835216497305
