i,j,Pattern,Score
2,2,previous_attention,0.3967831138356478
4,11,previous_attention,0.04370740358462493
1,3,cls_attention,0.420639126353226
1,9,cls_attention,0.44252312120483667
2,1,cls_attention,0.3347246096389277
2,6,cls_attention,0.4115188365812766
2,11,cls_attention,0.34248622333563644
3,0,cls_attention,0.13133383893537454
3,1,cls_attention,0.4197292517682537
3,3,cls_attention,0.41910721851970817
3,4,cls_attention,0.16211269066491196
3,5,cls_attention,0.4047834500079886
3,10,cls_attention,0.35764537882015446
4,2,cls_attention,0.271347767616948
4,4,cls_attention,0.2803620820487572
4,5,cls_attention,0.41537052108703676
4,6,cls_attention,0.4111427785743806
4,8,cls_attention,0.2699782396902295
4,10,cls_attention,0.20235001168688616
5,0,cls_attention,0.17542364959550377
5,1,cls_attention,0.03079662964684953
5,4,cls_attention,0.43448378141732746
5,5,cls_attention,0.13968726991126476
5,6,cls_attention,0.30445783073957394
5,7,cls_attention,0.3466715651230511
5,8,cls_attention,0.26688206981215173
5,9,cls_attention,0.18124815672444033
5,10,cls_attention,0.38203043371164397
5,11,cls_attention,0.3173808054037644
6,1,cls_attention,0.2936458792039677
6,2,cls_attention,0.25366059748522873
6,3,cls_attention,0.29701035905869266
6,4,cls_attention,0.36365094629881345
6,5,cls_attention,0.3499918816155199
6,6,cls_attention,0.24115082913338698
6,7,cls_attention,0.4072720275466294
6,8,cls_attention,0.44836026243006444
6,9,cls_attention,0.06709014622990901
6,10,cls_attention,0.16106368668995447
6,11,cls_attention,0.43107379866954754
7,0,cls_attention,0.3970072917754113
7,1,cls_attention,0.1812559455592121
7,2,cls_attention,0.05223055429416971
7,3,cls_attention,0.35292599822504617
7,4,cls_attention,0.28337734335854226
7,5,cls_attention,0.3527035501158037
7,6,cls_attention,0.23473735005647445
7,7,cls_attention,0.1666323824311812
7,8,cls_attention,0.4318954589030386
7,9,cls_attention,0.3301028978084403
7,10,cls_attention,0.08599820325042162
7,11,cls_attention,0.14176796385566748
8,0,cls_attention,0.2555512663270635
8,1,cls_attention,0.1188657743357771
8,2,cls_attention,0.3621968178004968
8,3,cls_attention,0.2160365048197334
8,4,cls_attention,0.3489726859510843
8,6,cls_attention,0.2589485533346691
8,7,cls_attention,0.39880961903925316
8,8,cls_attention,0.36335872570630945
8,9,cls_attention,0.26502355233419017
8,10,cls_attention,0.33478730327843287
8,11,cls_attention,0.2335266681355952
9,0,cls_attention,0.29348962768993403
9,1,cls_attention,0.14297179794608444
9,2,cls_attention,0.2627959216164553
9,4,cls_attention,0.13594583287443246
9,5,cls_attention,0.25043358280636324
9,6,cls_attention,0.09925430182949402
9,7,cls_attention,0.27832494654255474
9,8,cls_attention,0.21622102899886558
9,9,cls_attention,0.07936609702451435
9,10,cls_attention,0.3605646622288111
9,11,cls_attention,0.11776460975151126
10,0,cls_attention,0.20785952293857016
10,1,cls_attention,0.13336104550793176
10,2,cls_attention,0.13322812440239928
10,3,cls_attention,0.23725361055111543
10,4,cls_attention,0.3536767682687417
10,5,cls_attention,0.2991925215135608
10,6,cls_attention,0.12447334672855433
10,7,cls_attention,0.29156595717982137
10,8,cls_attention,0.1179742644565894
10,9,cls_attention,0.37822134652330763
10,10,cls_attention,0.11359193342140542
10,11,cls_attention,0.2559102191964478
11,1,cls_attention,0.24184942391436723
11,2,cls_attention,0.1579567068155346
11,3,cls_attention,0.3698486168397713
11,4,cls_attention,0.2880518738660089
11,5,cls_attention,0.17069579246585373
11,6,cls_attention,0.13123775113331507
11,7,cls_attention,0.24323768778419247
11,9,cls_attention,0.13980473805755061
11,10,cls_attention,0.3915849886837241
11,11,cls_attention,0.3807959596522586
1,3,first_token_domination,0.420639126353226
1,9,first_token_domination,0.44252312120483667
2,1,first_token_domination,0.3347246096389277
2,6,first_token_domination,0.4115188365812766
2,11,first_token_domination,0.34248622333563644
3,0,first_token_domination,0.13133383893537454
3,1,first_token_domination,0.4197292517682537
3,3,first_token_domination,0.41910721851970817
3,4,first_token_domination,0.16211269066491196
3,5,first_token_domination,0.4047834500079886
3,10,first_token_domination,0.35764537882015446
4,2,first_token_domination,0.271347767616948
4,4,first_token_domination,0.2803620820487572
4,5,first_token_domination,0.41537052108703676
4,6,first_token_domination,0.4111427785743806
4,8,first_token_domination,0.2699782396902295
4,10,first_token_domination,0.20235001168688616
5,0,first_token_domination,0.17542364959550377
5,1,first_token_domination,0.03079662964684953
5,4,first_token_domination,0.43448378141732746
5,5,first_token_domination,0.13968726991126476
5,6,first_token_domination,0.30445783073957394
5,7,first_token_domination,0.3466715651230511
5,8,first_token_domination,0.26688206981215173
5,9,first_token_domination,0.18124815672444033
5,10,first_token_domination,0.38203043371164397
5,11,first_token_domination,0.3173808054037644
6,1,first_token_domination,0.2936458792039677
6,2,first_token_domination,0.25366059748522873
6,3,first_token_domination,0.29701035905869266
6,4,first_token_domination,0.36365094629881345
6,5,first_token_domination,0.3499918816155199
6,6,first_token_domination,0.24115082913338698
6,7,first_token_domination,0.4072720275466294
6,8,first_token_domination,0.44836026243006444
6,9,first_token_domination,0.06709014622990901
6,10,first_token_domination,0.16106368668995447
6,11,first_token_domination,0.43107379866954754
7,0,first_token_domination,0.3970072917754113
7,1,first_token_domination,0.1812559455592121
7,2,first_token_domination,0.05223055429416971
7,3,first_token_domination,0.35292599822504617
7,4,first_token_domination,0.28337734335854226
7,5,first_token_domination,0.3527035501158037
7,6,first_token_domination,0.23473735005647445
7,7,first_token_domination,0.1666323824311812
7,8,first_token_domination,0.4318954589030386
7,9,first_token_domination,0.3301028978084403
7,10,first_token_domination,0.08599820325042162
7,11,first_token_domination,0.14176796385566748
8,0,first_token_domination,0.2555512663270635
8,1,first_token_domination,0.1188657743357771
8,2,first_token_domination,0.3621968178004968
8,3,first_token_domination,0.2160365048197334
8,4,first_token_domination,0.3489726859510843
8,6,first_token_domination,0.2589485533346691
8,7,first_token_domination,0.39880961903925316
8,8,first_token_domination,0.36335872570630945
8,9,first_token_domination,0.26502355233419017
8,10,first_token_domination,0.33478730327843287
8,11,first_token_domination,0.2335266681355952
9,0,first_token_domination,0.29348962768993403
9,1,first_token_domination,0.14297179794608444
9,2,first_token_domination,0.2627959216164553
9,4,first_token_domination,0.13594583287443246
9,5,first_token_domination,0.25043358280636324
9,6,first_token_domination,0.09925430182949402
9,7,first_token_domination,0.27832494654255474
