k,head,program,strategy,increase,kl_div
1,"(10, 2)",initial_token_attention,smart,0.008307712197430366,0.001065253290653345
2,"(4, 11)",previous_attention,smart,0.26274493680675787,0.002405856188015605
3,"(3, 4)",initial_token_attention,smart,-0.0015691900007224647,0.004723623831087025
4,"(10, 1)",initial_token_attention,smart,0.008794789239568121,0.005742762238805881
5,"(8, 1)",initial_token_attention,smart,-0.23680495592007247,0.007406134232733166
6,"(10, 10)",initial_token_attention,smart,-0.03923633052407492,0.008957349585834891
7,"(6, 10)",initial_token_attention,smart,-0.04710505990975719,0.010873505832860246
8,"(6, 9)",cls_attention,smart,-0.5833954426850234,0.0125294940645108
9,"(7, 11)",initial_token_attention,smart,-0.46035134515205883,0.014561170557281003
10,"(7, 7)",initial_token_attention,smart,-0.5415950429712316,0.016058302860474213
11,"(5, 1)",cls_attention,smart,-0.5442975492690533,0.018021547122625634
12,"(7, 10)",initial_token_attention,smart,-0.2917927168363033,0.020365652518812567
13,"(9, 6)",initial_token_attention,smart,-0.19800045298370797,0.021567746810615063
14,"(9, 11)",initial_token_attention,smart,0.10090711267895003,0.02367948627099395
15,"(9, 4)",initial_token_attention,smart,0.09638969531462138,0.02492937306757085
16,"(9, 1)",initial_token_attention,smart,0.1982673905803081,0.028244322085520253
17,"(10, 8)",initial_token_attention,smart,-0.2017091150490475,0.03029985245433636
18,"(0, 1)",repeated_attention,smart,-0.2114068445222121,0.030629442280624062
19,"(5, 5)",initial_token_attention,smart,-0.5585107759149676,0.03420881741098128
20,"(10, 0)",initial_token_attention,smart,-0.5145221458620465,0.03648037203704007
21,"(7, 2)",cls_attention,smart,-0.30764986726029697,0.03966589498450048
22,"(6, 6)",initial_token_attention,smart,-0.5411580622947515,0.03991375039564446
23,"(8, 0)",sentence_initial_dominance,smart,-2.553068258721129,0.03946719195693731
24,"(10, 6)",initial_token_attention,smart,-2.5208862468768634,0.04184954289463349
25,"(3, 0)",initial_token_attention,smart,-2.6473452560679767,0.040399501835927366
26,"(9, 9)",sentence_start_dominance,smart,-2.415295604195912,0.043332917811349035
27,"(11, 9)",initial_token_attention,smart,-2.7134304655350547,0.046325425626710055
28,"(11, 2)",initial_token_attention,smart,-1.1839099126286365,0.04975797064369544
29,"(10, 3)",sentence_initial_dominance,smart,-3.219188485521934,0.049537500164005904
30,"(11, 1)",sentence_initial_dominance,smart,-4.865906305898764,0.0495389426779002
31,"(9, 8)",sentence_initial_dominance,smart,-6.311435982615569,0.04919009144883603
32,"(8, 11)",sentence_initial_dominance,smart,-7.819116970718955,0.049437081532087174
33,"(7, 1)",initial_token_attention,smart,-7.536364434271929,0.052221052749082446
34,"(6, 2)",sentence_initial_dominance,smart,-8.561624378517704,0.05277951242402196
35,"(8, 3)",initial_token_attention,smart,-8.30469455464078,0.055316567271947864
36,"(5, 9)",sentence_initial_dominance,smart,-9.076436079839521,0.05468843852635473
37,"(9, 5)",sentence_initial_dominance,smart,-10.920099380724617,0.05427782367914915
38,"(5, 0)",initial_token_attention,smart,-10.564424928587007,0.057771167987957596
39,"(11, 5)",initial_token_attention,smart,-10.346112785847028,0.060164390827994796
40,"(11, 6)",initial_token_attention,smart,4.442973269581275,0.0640018399944529
41,"(11, 7)",initial_token_attention,smart,5.702987374831708,0.06958269780967384
42,"(4, 10)",initial_token_attention,smart,5.7952316524565495,0.07263093177694828
43,"(7, 6)",sentence_initial_dominance,smart,4.833126988392987,0.07132200295338408
