layer,head,program_idx,sentence_idx,iou_score
14,24,47,1,0.119
14,24,47,2,0.142
14,24,47,3,0.103
14,24,47,4,0.119
14,25,47,0,0.265
14,25,47,1,0.256
14,25,47,2,0.229
14,25,47,3,0.27
14,25,47,4,0.235
14,26,47,0,0.158
14,26,47,1,0.154
14,26,47,2,0.154
14,26,47,3,0.14
14,26,47,4,0.143
14,27,47,0,0.154
14,27,47,1,0.129
14,27,47,2,0.136
14,27,47,3,0.135
14,27,47,4,0.123
14,28,47,0,0.19
14,28,47,1,0.17
14,28,47,2,0.177
14,28,47,3,0.166
14,28,47,4,0.163
14,29,47,0,0.147
14,29,47,1,0.134
14,29,47,2,0.144
14,29,47,3,0.125
14,29,47,4,0.13
14,30,47,0,0.107
14,30,47,1,0.103
14,30,47,2,0.111
14,30,47,3,0.093
14,30,47,4,0.09
14,31,47,0,0.163
14,31,47,1,0.153
14,31,47,2,0.16
14,31,47,3,0.131
14,31,47,4,0.125
15,0,47,0,0.184
15,0,47,1,0.188
15,0,47,2,0.17
15,0,47,3,0.181
15,0,47,4,0.141
15,1,47,0,0.149
15,1,47,1,0.134
15,1,47,2,0.143
15,1,47,3,0.128
15,1,47,4,0.116
15,2,47,0,0.153
15,2,47,1,0.152
15,2,47,2,0.154
15,2,47,3,0.133
15,2,47,4,0.13
15,3,47,0,0.121
15,3,47,1,0.133
15,3,47,2,0.124
15,3,47,3,0.106
15,3,47,4,0.114
15,4,47,0,0.19
15,4,47,1,0.206
15,4,47,2,0.2
15,4,47,3,0.183
15,4,47,4,0.163
15,5,47,0,0.174
15,5,47,1,0.148
15,5,47,2,0.169
15,5,47,3,0.126
15,5,47,4,0.132
15,6,47,0,0.16
15,6,47,1,0.18
15,6,47,2,0.137
15,6,47,3,0.164
15,6,47,4,0.156
15,7,47,0,0.19
15,7,47,1,0.17
15,7,47,2,0.188
15,7,47,3,0.175
15,7,47,4,0.165
15,8,47,0,0.102
15,8,47,1,0.089
15,8,47,2,0.09
15,8,47,3,0.079
15,8,47,4,0.083
15,9,47,0,0.205
15,9,47,1,0.237
15,9,47,2,0.192
15,9,47,3,0.22
15,9,47,4,0.197
15,10,47,0,0.114
15,10,47,1,0.091
15,10,47,2,0.103
15,10,47,3,0.084
15,10,47,4,0.085
15,11,47,0,0.166
15,11,47,1,0.196
15,11,47,2,0.16
15,11,47,3,0.181
15,11,47,4,0.148
15,12,47,0,0.197
15,12,47,1,0.145
15,12,47,2,0.152
15,12,47,3,0.139
15,12,47,4,0.177
15,13,47,0,0.179
15,13,47,1,0.161
15,13,47,2,0.16
15,13,47,3,0.134
15,13,47,4,0.15
15,14,47,0,0.222
15,14,47,1,0.172
15,14,47,2,0.156
15,14,47,3,0.13
15,14,47,4,0.192
15,15,47,0,0.123
15,15,47,1,0.099
15,15,47,2,0.105
15,15,47,3,0.089
15,15,47,4,0.098
15,16,47,0,0.095
15,16,47,1,0.085
15,16,47,2,0.091
15,16,47,3,0.08
15,16,47,4,0.073
15,17,47,0,0.098
15,17,47,1,0.093
15,17,47,2,0.103
15,17,47,3,0.094
15,17,47,4,0.083
15,18,47,0,0.102
15,18,47,1,0.1
15,18,47,2,0.108
15,18,47,3,0.093
15,18,47,4,0.085
15,19,47,0,0.098
15,19,47,1,0.094
15,19,47,2,0.097
15,19,47,3,0.086
15,19,47,4,0.077
15,20,47,0,0.095
15,20,47,1,0.086
15,20,47,2,0.092
15,20,47,3,0.08
15,20,47,4,0.073
15,21,47,0,0.099
15,21,47,1,0.098
15,21,47,2,0.096
15,21,47,3,0.085
15,21,47,4,0.077
15,22,47,0,0.116
15,22,47,1,0.118
15,22,47,2,0.111
15,22,47,3,0.114
15,22,47,4,0.1
15,23,47,0,0.115
15,23,47,1,0.129
15,23,47,2,0.13
15,23,47,3,0.117
15,23,47,4,0.109
15,24,47,0,0.163
15,24,47,1,0.161
15,24,47,2,0.128
15,24,47,3,0.127
15,24,47,4,0.161
15,25,47,0,0.181
15,25,47,1,0.196
15,25,47,2,0.17
15,25,47,3,0.164
15,25,47,4,0.13
15,26,47,0,0.141
15,26,47,1,0.126
15,26,47,2,0.162
15,26,47,3,0.094
15,26,47,4,0.124
15,27,47,0,0.229
15,27,47,1,0.185
15,27,47,2,0.205
15,27,47,3,0.193
15,27,47,4,0.207
15,28,47,0,0.191
15,28,47,1,0.228
15,28,47,2,0.187
15,28,47,3,0.171
15,28,47,4,0.209
15,29,47,0,0.188
15,29,47,1,0.163
15,29,47,2,0.147
15,29,47,3,0.184
15,29,47,4,0.21
15,30,47,0,0.18
15,30,47,1,0.163
15,30,47,2,0.188
15,30,47,3,0.147
15,30,47,4,0.155
15,31,47,0,0.167
15,31,47,1,0.165
15,31,47,2,0.165
15,31,47,3,0.138
15,31,47,4,0.166
16,0,47,0,0.133
16,0,47,1,0.144
16,0,47,2,0.117
16,0,47,3,0.119
16,0,47,4,0.104
16,1,47,0,0.159
16,1,47,1,0.157
16,1,47,2,0.15
16,1,47,3,0.141
16,1,47,4,0.16
16,2,47,0,0.188
16,2,47,1,0.203
16,2,47,2,0.173
16,2,47,3,0.157
16,2,47,4,0.201
16,3,47,0,0.177
16,3,47,1,0.175
16,3,47,2,0.168
16,3,47,3,0.172
16,3,47,4,0.179
16,4,47,0,0.143
16,4,47,1,0.174
16,4,47,2,0.152
16,4,47,3,0.149
16,4,47,4,0.161
16,5,47,0,0.184
16,5,47,1,0.187
16,5,47,2,0.162
16,5,47,3,0.149
16,5,47,4,0.195
16,6,47,0,0.179
16,6,47,1,0.171
16,6,47,2,0.162
16,6,47,3,0.159
16,6,47,4,0.163
16,7,47,0,0.218
16,7,47,1,0.221
16,7,47,2,0.211
16,7,47,3,0.205
16,7,47,4,0.198
16,8,47,0,0.216
16,8,47,1,0.189
16,8,47,2,0.167
16,8,47,3,0.129
16,8,47,4,0.173
16,9,47,0,0.224
16,9,47,1,0.194
16,9,47,2,0.181
16,9,47,3,0.177
16,9,47,4,0.202
16,10,47,0,0.134
16,10,47,1,0.148
16,10,47,2,0.163
16,10,47,3,0.129
16,10,47,4,0.143
16,11,47,0,0.159
16,11,47,1,0.16
16,11,47,2,0.176
16,11,47,3,0.193
16,11,47,4,0.151
16,12,47,0,0.208
16,12,47,1,0.196
16,12,47,2,0.189
16,12,47,3,0.192
16,12,47,4,0.19
16,13,47,0,0.146
16,13,47,1,0.113
16,13,47,2,0.098
16,13,47,3,0.085
16,13,47,4,0.084
16,14,47,0,0.191
16,14,47,1,0.174
16,14,47,2,0.153
16,14,47,3,0.161
16,14,47,4,0.202
16,15,47,0,0.215
16,15,47,1,0.153
16,15,47,2,0.136
16,15,47,3,0.134
16,15,47,4,0.196
16,16,47,0,0.198
