k,head,program,strategy,increase,kl_div,spike
1,"(0, 22)",cls_attention,baseline,21.067593235647706,1.3003878474235535,False
2,"(2, 16)",cls_attention,baseline,49.98360522615841,2.6336478769779204,False
3,"(5, 7)",cls_attention,baseline,82.467962711318,2.981445014476776,False
4,"(22, 10)",initial_element_reinforcement,baseline,86.80888074265508,3.132188594341278,False
5,"(22, 3)",initial_element_reinforcement,baseline,84.99973158879125,3.1440858960151674,False
6,"(22, 11)",initial_element_reinforcement,baseline,93.76163396395562,3.2955445289611816,False
7,"(22, 9)",initial_element_reinforcement,baseline,91.89768760396534,3.406094121932983,False
8,"(5, 6)",initial_element_reinforcement,baseline,136.69199999899652,3.5392167806625365,False
9,"(22, 5)",initial_element_reinforcement,baseline,142.31629525058787,3.7938469648361206,False
10,"(21, 17)",sentence_beginning_salience,baseline,139.43697246815455,3.820298957824707,False
11,"(23, 11)",sentence_beginning_salience,baseline,138.22754095179283,3.7329085946083067,False
12,"(14, 2)",initial_element_reinforcement,baseline,152.32805539928265,4.030123543739319,False
13,"(22, 4)",initial_element_reinforcement,baseline,155.68933901927534,3.7296361923217773,False
14,"(23, 9)",sentence_beginning_salience,baseline,155.99272068879728,4.128980922698974,False
15,"(21, 4)",initial_token_anchoring,baseline,152.8586072799393,3.894780683517456,False
16,"(21, 19)",sentence_beginning_salience,baseline,151.9108012065538,3.7431378602981566,False
17,"(18, 15)",sentence_beginning_salience,baseline,151.10834095826192,3.902174437046051,False
18,"(24, 4)",sentence_beginning_salience,baseline,152.23534025618937,4.053837180137634,False
19,"(19, 22)",sentence_beginning_salience,baseline,164.92542688603103,4.297777009010315,False
20,"(18, 2)",sentence_beginning_salience,baseline,172.4241870449995,4.20676817893982,False
21,"(21, 13)",sentence_beginning_salience,baseline,170.83562943779583,4.182953655719757,False
22,"(21, 15)",sentence_beginning_salience,baseline,182.17106687951767,4.182012319564819,False
23,"(16, 3)",sentence_beginning_salience,baseline,178.02172801061687,4.302775955200195,False
24,"(21, 12)",sentence_beginning_salience,baseline,183.05100274942393,4.4724973917007445,False
25,"(21, 3)",initial_element_reinforcement,baseline,198.71246946707913,4.508367967605591,False
26,"(25, 15)",sentence_beginning_salience,baseline,213.13532346782284,4.504558038711548,False
27,"(24, 17)",sentence_beginning_salience,baseline,218.9137388626641,4.37543478012085,False
28,"(19, 21)",sentence_beginning_salience,baseline,238.00909948330485,4.538211250305176,False
29,"(14, 1)",initial_element_reinforcement,baseline,278.92673447091954,5.076788067817688,False
30,"(20, 10)",sentence_beginning_salience,baseline,305.90814260459695,4.791164064407349,False
31,"(24, 3)",sentence_beginning_salience,baseline,310.4487268618667,4.992685222625733,False
32,"(19, 23)",sentence_beginning_salience,baseline,314.08408220644196,4.895475244522094,False
33,"(15, 13)",sentence_beginning_salience,baseline,354.0635164468933,5.197565817832947,False
34,"(24, 20)",sentence_beginning_salience,baseline,364.70168272823423,5.3995585441589355,False
35,"(21, 18)",sentence_beginning_salience,baseline,374.30205754755934,5.413627958297729,False
36,"(19, 15)",sentence_beginning_salience,baseline,372.3511645778764,5.156679153442383,False
37,"(17, 3)",sentence_beginning_salience,baseline,390.20408863851407,5.086727094650269,False
38,"(23, 12)",sentence_beginning_salience,baseline,391.46244385114426,5.227229428291321,False
39,"(21, 8)",sentence_beginning_salience,baseline,401.17614764449297,5.340430021286011,False
40,"(20, 9)",sentence_beginning_salience,baseline,415.28581797683165,5.443807983398438,False
41,"(18, 4)",sentence_beginning_salience,baseline,412.21719249476155,5.323905730247498,False
42,"(23, 5)",sentence_beginning_salience,baseline,398.02127559885423,5.280912590026856,False
43,"(24, 15)",sentence_beginning_salience,baseline,417.7595609588508,5.311223936080933,False
44,"(22, 8)",initial_element_reinforcement,baseline,436.0315481974728,5.51698215007782,False
45,"(24, 19)",sentence_beginning_salience,baseline,449.85784618966926,5.580800342559814,False
46,"(26, 22)",sentence_beginning_salience,baseline,458.58102749808256,5.761482858657837,False
47,"(23, 19)",sentence_beginning_salience,baseline,480.7338339615668,6.015278053283692,False
48,"(24, 5)",sentence_beginning_salience,baseline,500.9084320085911,6.161916923522949,False
49,"(22, 7)",sentence_beginning_salience,baseline,536.8682555689929,6.322307443618774,False
50,"(21, 7)",sentence_beginning_salience,baseline,552.0886315906052,6.330164527893066,False
51,"(24, 14)",sentence_beginning_salience,baseline,573.2169265516887,6.320965003967285,False
52,"(23, 22)",sentence_beginning_salience,baseline,603.0055096513755,6.3135779857635494,False
53,"(26, 21)",sentence_beginning_salience,baseline,635.3888297939071,6.299566984176636,False
54,"(17, 1)",sentence_beginning_salience,baseline,643.9796220213883,6.418531131744385,False
55,"(27, 15)",sentence_beginning_salience,baseline,658.4984517826749,5.9492637634277346,False
56,"(20, 11)",sentence_beginning_salience,baseline,704.4445287771576,5.917873048782349,False
57,"(25, 11)",sentence_beginning_salience,baseline,716.592287754916,5.682138109207154,False
58,"(10, 21)",sentence_beginning_salience,baseline,749.177676488734,5.904636383056641,False
59,"(26, 9)",sentence_beginning_salience,baseline,756.1040068917634,5.720457077026367,False
60,"(25, 14)",sentence_beginning_salience,baseline,776.2535267406262,5.770031309127807,False
61,"(25, 3)",sentence_beginning_salience,baseline,819.7268266888384,5.642212438583374,False
62,"(8, 2)",sentence_beginning_salience,baseline,861.6208630700145,5.664926290512085,False
63,"(25, 17)",sentence_beginning_salience,baseline,831.5372668392316,5.730014705657959,False
64,"(21, 20)",sentence_beginning_salience,baseline,845.8769640472356,5.737378215789795,False
65,"(22, 0)",sentence_beginning_salience,baseline,870.5573062777314,5.715265464782715,False
66,"(16, 5)",sentence_beginning_salience,baseline,858.4372499408739,5.693962097167969,False
67,"(20, 4)",sentence_beginning_salience,baseline,894.954076947745,5.685860967636108,False
68,"(27, 12)",sentence_beginning_salience,baseline,903.9004153875279,5.632815408706665,False
69,"(26, 5)",sentence_beginning_salience,baseline,937.5620218655686,5.835874366760254,False
70,"(25, 1)",sentence_beginning_salience,baseline,940.5172774714425,5.816540670394898,False
71,"(6, 1)",sentence_beginning_salience,baseline,988.484073413759,5.824946117401123,False
