k,head,program,strategy,increase,kl_div,spike
1,"(0, 22)",cls_attention,smart,0.2527918504863063,0.0017187532968819,False
2,"(0, 23)",cls_attention,smart,0.8894968291807661,0.0027903183829039,False
3,"(2, 16)",cls_attention,smart,1.0544681064862378,0.0041019130032509,False
4,"(5, 7)",cls_attention,smart,1.620276055034442,0.0027969571528956,False
5,"(22, 10)",initial_element_reinforcement,smart,1.5560895746874948,0.0036528070457279,False
6,"(22, 3)",initial_element_reinforcement,smart,1.4288566024214382,0.0041137146065011,False
7,"(22, 11)",initial_element_reinforcement,smart,1.7648135899828843,0.0037006153957918,False
8,"(22, 9)",initial_element_reinforcement,smart,1.7407960736346555,0.0038578529842197,False
9,"(2, 15)",initial_token_anchoring,smart,1.7469113646835133,0.0053862769156694,False
10,"(5, 6)",initial_element_reinforcement,smart,1.5163947143869971,0.0055131281726062,False
11,"(22, 5)",initial_element_reinforcement,smart,1.7769465448243429,0.0057955699507147,False
12,"(21, 17)",sentence_beginning_salience,smart,1.7695745150902726,0.0062044365797191,False
13,"(23, 11)",sentence_beginning_salience,smart,1.8707928187282048,0.0066893553361296,False
14,"(14, 2)",initial_element_reinforcement,smart,2.096691023201469,0.0082079589366912,False
15,"(22, 4)",initial_element_reinforcement,smart,2.2704004698835853,0.0082601758651435,False
16,"(23, 9)",sentence_beginning_salience,smart,2.7713847024901126,0.0091064857318997,False
17,"(21, 4)",initial_token_anchoring,smart,3.005822073402676,0.0087567868642508,False
18,"(21, 19)",sentence_beginning_salience,smart,3.192819247005473,0.0103018636815249,False
19,"(18, 15)",sentence_beginning_salience,smart,3.2257919595879145,0.0110704187303781,False
20,"(24, 4)",sentence_beginning_salience,smart,3.4465453488115587,0.0132835252210497,False
21,"(19, 22)",sentence_beginning_salience,smart,3.4780128025022625,0.0166654763743281,False
22,"(18, 2)",sentence_beginning_salience,smart,3.620978995542372,0.0200674498453736,False
23,"(21, 13)",sentence_beginning_salience,smart,3.748151287168581,0.0206490039825439,False
24,"(21, 15)",sentence_beginning_salience,smart,3.326214285260243,0.0215506877750158,False
25,"(16, 3)",sentence_beginning_salience,smart,3.4957186423638467,0.0219482300803065,False
26,"(21, 12)",sentence_beginning_salience,smart,3.629845158069757,0.021440359018743,False
27,"(21, 3)",initial_element_reinforcement,smart,3.5340901929787933,0.0225767366588115,False
28,"(25, 15)",sentence_beginning_salience,smart,3.64377586994096,0.0223728852346539,False
29,"(24, 17)",sentence_beginning_salience,smart,3.795492193286846,0.023186014406383,False
30,"(19, 21)",sentence_beginning_salience,smart,3.9280540240114776,0.0233542546629905,False
31,"(14, 1)",initial_element_reinforcement,smart,4.536076061810024,0.0241171419620513,False
32,"(20, 10)",sentence_beginning_salience,smart,4.174887962295005,0.0270604841411113,False
33,"(24, 3)",sentence_beginning_salience,smart,4.083404782483065,0.0294366739690303,False
34,"(4, 21)",initial_element_reinforcement,smart,4.052057904047593,0.029696612805128,False
35,"(19, 23)",sentence_beginning_salience,smart,4.221040186551363,0.0284760585054755,False
36,"(15, 13)",sentence_beginning_salience,smart,4.141864357115765,0.028851106390357,False
37,"(24, 20)",sentence_beginning_salience,smart,4.552955703799543,0.0297288265079259,False
38,"(14, 22)",initial_token_anchoring,smart,4.543201386238065,0.0303149793297052,False
39,"(21, 18)",sentence_beginning_salience,smart,4.3999661567839805,0.0322301596403121,False
40,"(19, 15)",sentence_beginning_salience,smart,4.476629006580028,0.0349247653037309,False
41,"(17, 3)",sentence_beginning_salience,smart,4.222608919608854,0.0359141990542411,False
42,"(2, 17)",initial_element_reinforcement,smart,4.117897337272394,0.0393367435783147,False
43,"(23, 12)",sentence_beginning_salience,smart,3.88293013568513,0.0407727994024753,False
44,"(21, 8)",sentence_beginning_salience,smart,4.217574319355999,0.0420585826039314,False
45,"(20, 9)",sentence_beginning_salience,smart,4.332695001146833,0.0420067328959703,False
46,"(18, 4)",sentence_beginning_salience,smart,3.948737887315597,0.0454557098448276,False
47,"(23, 5)",sentence_beginning_salience,smart,4.038246418430431,0.0489491533488035,False
48,"(24, 15)",sentence_beginning_salience,smart,4.00044113046846,0.0508010096848011,False
49,"(22, 8)",initial_element_reinforcement,smart,4.10125561434174,0.053613294661045,False
50,"(24, 19)",sentence_beginning_salience,smart,3.967015158143538,0.0553267758339643,False
51,"(26, 22)",sentence_beginning_salience,smart,3.6624180261216575,0.0520167022943496,False
52,"(23, 19)",sentence_beginning_salience,smart,3.8183742428578937,0.0520034246146678,False
53,"(24, 5)",sentence_beginning_salience,smart,3.712706241962103,0.0533610165119171,False
54,"(26, 11)",sentence_beginning_salience,smart,3.6225182956968256,0.0554388016462326,False
55,"(22, 7)",sentence_beginning_salience,smart,3.798845876493349,0.0549946002662181,False
56,"(21, 7)",sentence_beginning_salience,smart,3.839422905447664,0.0558154970407486,False
57,"(24, 14)",sentence_beginning_salience,smart,4.130852588336246,0.0594436414539814,False
58,"(22, 2)",sentence_beginning_salience,smart,4.409455388638347,0.0575752258300781,False
59,"(22, 22)",initial_element_reinforcement,smart,4.613897363984931,0.0602193444967269,False
60,"(23, 22)",sentence_beginning_salience,smart,4.690121239310921,0.0586887337267398,False
61,"(4, 22)",sentence_beginning_salience,smart,4.940219980421697,0.0625296629965305,False
62,"(26, 21)",sentence_beginning_salience,smart,5.332267448604119,0.0644143462181091,False
63,"(17, 1)",sentence_beginning_salience,smart,5.392876811562148,0.0701030239462852,False
64,"(27, 15)",sentence_beginning_salience,smart,5.762896859471765,0.0811563238501548,False
