k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",cls_attention,smart,-0.09980278494690037,0.0006977682467550039,False
2,"(8, 11)",cls_attention,smart,-0.26678916849501855,0.0009447879157960415,False
3,"(15, 20)",cls_attention,smart,-0.223942385519115,0.0015490090823732316,False
4,"(11, 8)",cls_attention,smart,-0.40925190881298634,0.001953994040377438,False
5,"(16, 28)",cls_attention,smart,0.07374925729070592,0.0029579791822470724,False
6,"(11, 11)",initial_element_reinforcement,smart,-0.06108278747731666,0.003942222846671939,False
7,"(11, 3)",initial_element_reinforcement,smart,0.17656395018625726,0.004092610022053122,False
8,"(14, 13)",initial_element_reinforcement,smart,0.024490666189220182,0.004367085080593825,False
9,"(8, 9)",cls_attention,smart,0.031395676745131794,0.004949275963008403,False
10,"(15, 19)",initial_element_reinforcement,smart,-0.20968598092318996,0.004526954446919263,False
11,"(15, 8)",initial_element_reinforcement,smart,-0.24720862787595763,0.00586447985842824,False
12,"(15, 21)",initial_element_reinforcement,smart,0.1298773619396514,0.005557297961786389,False
13,"(20, 29)",sentence_beginning_salience,smart,0.5039330056741221,0.006290447339415551,False
14,"(6, 25)",initial_element_reinforcement,smart,0.26883818290541256,0.006360528618097305,False
15,"(3, 4)",sentence_beginning_salience,smart,0.2437253498476227,0.006748138833791018,False
16,"(11, 15)",sentence_beginning_salience,smart,0.502692491301056,0.008887401223182679,False
17,"(18, 21)",sentence_beginning_salience,smart,0.7517010999195431,0.009461268410086631,False
18,"(3, 0)",sentence_beginning_salience,smart,0.7652900955055885,0.010564238391816616,False
19,"(4, 8)",sentence_beginning_salience,smart,0.8081953382467544,0.010962077602744102,False
20,"(20, 16)",sentence_beginning_salience,smart,0.6751923240636121,0.011220280453562737,False
21,"(9, 0)",sentence_beginning_salience,smart,0.8737579281187633,0.012350669503211975,False
22,"(3, 7)",sentence_beginning_salience,smart,1.3313853633631794,0.012720747012645006,False
23,"(18, 30)",sentence_beginning_salience,smart,1.221400962122002,0.012787475902587175,False
24,"(18, 7)",sentence_beginning_salience,smart,1.5084570395311636,0.014811672270298004,False
25,"(8, 14)",sentence_beginning_salience,smart,1.7842877046251453,0.015645113494247197,False
26,"(18, 5)",sentence_beginning_salience,smart,1.8985338625920818,0.017431818507611753,False
27,"(19, 11)",sentence_beginning_salience,smart,1.6325087386627708,0.017787067219614983,False
28,"(8, 12)",initial_element_reinforcement,smart,1.5269542293962153,0.016498524509370328,False
29,"(19, 8)",sentence_beginning_salience,smart,1.2687559414205904,0.018287269212305547,False
30,"(17, 3)",sentence_beginning_salience,smart,1.3577389624075218,0.01968977376818657,False
31,"(3, 1)",sentence_beginning_salience,smart,1.4933499253017146,0.01838231850415468,False
32,"(15, 18)",sentence_beginning_salience,smart,1.7775262313116091,0.019144776090979577,False
33,"(20, 8)",sentence_beginning_salience,smart,1.8161661716303066,0.018674385175108908,False
34,"(8, 25)",sentence_beginning_salience,smart,1.9425186587255496,0.019514737837016582,False
35,"(5, 13)",sentence_beginning_salience,smart,2.161499763462777,0.01895007025450468,False
36,"(15, 10)",sentence_beginning_salience,smart,1.8458454715683963,0.01953587792813778,False
37,"(21, 6)",sentence_beginning_salience,smart,1.7880709925523166,0.019948427751660346,False
38,"(17, 1)",sentence_beginning_salience,smart,1.7299527737207527,0.021489011868834496,False
39,"(17, 0)",sentence_beginning_salience,smart,2.2393332520194633,0.022389117628335953,False
40,"(21, 25)",sentence_beginning_salience,smart,2.0883617803515877,0.02273143529891968,False
41,"(17, 2)",sentence_beginning_salience,smart,2.609348430405234,0.02426609843969345,False
42,"(4, 28)",sentence_beginning_salience,smart,3.20075548700959,0.024985581636428833,False
43,"(8, 27)",sentence_beginning_salience,smart,3.109562526793045,0.024872152879834176,False
44,"(4, 17)",sentence_beginning_salience,smart,2.67713948828226,0.023759306222200394,False
45,"(19, 9)",sentence_beginning_salience,smart,2.7655921078954244,0.02447748277336359,False
46,"(18, 1)",sentence_beginning_salience,smart,2.798788034365928,0.02544478848576546,False
47,"(17, 4)",sentence_beginning_salience,smart,2.8724334194629124,0.024977385997772217,False
48,"(5, 16)",sentence_beginning_salience,smart,2.698859175415125,0.025982103683054446,False
49,"(19, 12)",sentence_beginning_salience,smart,2.638569914259856,0.027013210207223894,False
50,"(8, 21)",sentence_beginning_salience,smart,2.590026114022396,0.02713329643011093,False
51,"(20, 10)",sentence_beginning_salience,smart,2.3524683006287104,0.027626791782677174,False
52,"(4, 31)",sentence_beginning_salience,smart,2.140789445376856,0.02745288647711277,False
53,"(3, 6)",sentence_beginning_salience,smart,2.6450472996291845,0.02862188294529915,False
54,"(4, 4)",sentence_beginning_salience,smart,2.2392884670246973,0.028756676614284514,False
55,"(5, 20)",sentence_beginning_salience,smart,2.005674650440401,0.030377649888396262,False
56,"(11, 7)",sentence_beginning_salience,smart,2.257361232142461,0.0316150713711977,False
57,"(3, 5)",sentence_beginning_salience,smart,2.191767447005043,0.032145869359374045,False
58,"(7, 24)",sentence_beginning_salience,smart,2.481479616721144,0.03509418405592442,False
59,"(4, 25)",sentence_beginning_salience,smart,2.4183855908649354,0.037457533180713654,False
60,"(21, 1)",sentence_beginning_salience,smart,2.3230441140872786,0.03770433813333511,False
61,"(19, 17)",sentence_beginning_salience,smart,2.5354510250415685,0.04205990806221962,False
62,"(5, 15)",sentence_beginning_salience,smart,2.687957648525182,0.04287850558757782,False
63,"(20, 13)",sentence_beginning_salience,smart,2.947875370439073,0.04328468628227711,False
64,"(5, 14)",sentence_beginning_salience,smart,3.3317869993653972,0.04370498731732368,False
65,"(6, 11)",sentence_beginning_salience,smart,3.347945320729484,0.0479540791362524,False
66,"(3, 16)",sentence_beginning_salience,smart,3.5678025035841214,0.04733799695968628,False
67,"(14, 15)",sentence_beginning_salience,smart,3.882739011054281,0.046311522275209425,False
68,"(6, 15)",sentence_beginning_salience,smart,3.972700029500616,0.04435509219765663,False
69,"(19, 6)",sentence_beginning_salience,smart,4.149255154289034,0.04591241776943207,False
70,"(11, 6)",sentence_beginning_salience,smart,4.815300411144685,0.044832879304885866,False
71,"(4, 12)",sentence_beginning_salience,smart,4.841689738811863,0.04627655521035194,False
72,"(10, 16)",sentence_beginning_salience,smart,5.086902104416313,0.051124907284975055,False
73,"(3, 2)",sentence_beginning_salience,smart,4.973066296965489,0.049308960884809495,False
74,"(8, 18)",sentence_beginning_salience,smart,5.029952353452972,0.04878063127398491,False
75,"(17, 22)",sentence_beginning_salience,smart,4.726000571145713,0.046257782727479935,False
76,"(18, 4)",sentence_beginning_salience,smart,4.83397595532567,0.04552292302250862,False
77,"(8, 15)",sentence_beginning_salience,smart,5.053091834361513,0.047344091534614566,False
78,"(19, 25)",sentence_beginning_salience,smart,5.159094754073908,0.04988834485411644,False
79,"(18, 23)",sentence_beginning_salience,smart,4.777618711260994,0.049192284047603604,False
80,"(17, 15)",sentence_beginning_salience,smart,5.2691788884569055,0.049506524205207826,False
81,"(7, 0)",sentence_beginning_salience,smart,5.489476336306447,0.050533010810613635,False
82,"(17, 12)",sentence_beginning_salience,smart,5.262295354365716,0.05182545930147171,False
83,"(8, 17)",sentence_beginning_salience,smart,5.188231239075901,0.05574684590101242,False
84,"(19, 15)",sentence_beginning_salience,smart,4.744350404942752,0.05563449263572693,False
85,"(21, 23)",sentence_beginning_salience,smart,4.661196788452887,0.05597872734069824,False
86,"(8, 19)",sentence_beginning_salience,smart,4.501372712413606,0.056358716636896136,False
87,"(5, 9)",sentence_beginning_salience,smart,5.0018298536973695,0.05962585657835007,False
