k,head,program,strategy,increase,kl_div
1,"(5, 1)",cls_attention,smart,0.03420307473948125,0.001781320448135375
2,"(4, 11)",previous_attention,smart,0.3032595393506099,0.002606529266340658
3,"(7, 2)",cls_attention,smart,0.47073140882562536,0.00454152991893352
4,"(6, 9)",cls_attention,smart,-0.14065951384298947,0.006237151678942609
5,"(9, 9)",sentence_start_dominance,smart,-0.04983421760650563,0.008417916522012093
6,"(7, 10)",initial_token_attention,smart,0.06654293316484282,0.009454378273221663
7,"(9, 6)",initial_token_attention,smart,0.15276044107379996,0.010539605137018952
8,"(10, 8)",initial_token_attention,smart,-0.23075672797075192,0.011876542809477541
9,"(10, 10)",initial_token_attention,smart,-0.09357407032800312,0.013682373082265258
10,"(8, 1)",initial_token_attention,smart,-0.2528133922696736,0.016394806815660558
11,"(3, 0)",initial_token_attention,smart,-0.4767217721364171,0.01693771729245782
12,"(9, 11)",initial_token_attention,smart,-0.19382438561340742,0.017865386214107274
13,"(10, 6)",initial_token_attention,smart,-0.26857235255814854,0.019466077354736627
14,"(10, 1)",initial_token_attention,smart,-0.17005626297509643,0.021266662978450767
15,"(11, 6)",initial_token_attention,smart,14.879004608840612,0.02393579917086754
16,"(10, 2)",initial_token_attention,smart,15.28263300556779,0.025859200760023668
17,"(9, 4)",initial_token_attention,smart,15.543730683576921,0.026720293887192385
18,"(11, 9)",initial_token_attention,smart,15.502186077378356,0.029773654642049223
19,"(5, 5)",initial_token_attention,smart,15.151115751731574,0.032069480190984906
20,"(9, 1)",initial_token_attention,smart,15.49123748183224,0.03553778843081091
21,"(7, 11)",initial_token_attention,smart,15.788046035795695,0.03912404438480735
22,"(6, 10)",initial_token_attention,smart,15.922169822659205,0.044022195860743525
23,"(11, 2)",initial_token_attention,smart,16.219001770675728,0.04747712579905056
24,"(0, 1)",repeated_attention,smart,16.207730819369125,0.047473963835509496
25,"(7, 7)",initial_token_attention,smart,16.232534271883868,0.04776845161570236
26,"(3, 4)",initial_token_attention,smart,16.130980145082635,0.04977838901570067
27,"(11, 5)",initial_token_attention,smart,16.54979019570861,0.0522578708967194
28,"(5, 0)",initial_token_attention,smart,17.21521442749894,0.05577668306417763
29,"(7, 1)",initial_token_attention,smart,17.573350640429272,0.05855915762018413
30,"(5, 9)",sentence_initial_dominance,smart,16.493024012012537,0.05802749754395336
31,"(4, 10)",initial_token_attention,smart,16.71911766098585,0.06100415483117103
32,"(10, 0)",initial_token_attention,smart,17.03683001074304,0.06430811257567257
33,"(9, 8)",sentence_initial_dominance,smart,15.362826664148468,0.06382284707855433
34,"(8, 3)",initial_token_attention,smart,15.785498322062395,0.0673632644675672
35,"(7, 6)",sentence_initial_dominance,smart,14.601453289740386,0.06645744395442307
36,"(8, 11)",sentence_initial_dominance,smart,12.615913595872389,0.0660306939878501
37,"(6, 6)",initial_token_attention,smart,12.332136970987946,0.06767749242018908
38,"(11, 1)",sentence_initial_dominance,smart,10.637741380871084,0.06767870530951768
39,"(10, 3)",sentence_initial_dominance,smart,8.597054740625369,0.06728487021755428
40,"(6, 2)",sentence_initial_dominance,smart,7.385889700387285,0.06731364008970558
41,"(9, 5)",sentence_initial_dominance,smart,5.2813444882683305,0.06672788011841475
42,"(8, 0)",sentence_initial_dominance,smart,3.5774687941100587,0.0659288731776178
43,"(11, 7)",initial_token_attention,smart,4.833126988392987,0.07132200295338408
