i,j,Pattern,Score
1,30,previous_attention,0.3806709430264011
14,30,previous_attention,0.3411423450309509
14,23,same_attention,0.3498908455260562
3,0,cls_attention,0.09320751426892501
3,1,cls_attention,0.10378576690648379
3,2,cls_attention,0.13038929111332756
3,3,cls_attention,0.16938801658053085
3,4,cls_attention,0.0903922309158471
3,5,cls_attention,0.10304389530371673
3,6,cls_attention,0.10127337750127981
3,7,cls_attention,0.10287870854035706
3,8,cls_attention,0.22871562056776504
3,9,cls_attention,0.2099269928706642
3,10,cls_attention,0.2268236816970215
3,11,cls_attention,0.19566729911133598
3,12,cls_attention,0.18885275468344515
3,13,cls_attention,0.21860581355177988
3,14,cls_attention,0.18372016993320334
3,15,cls_attention,0.2736958721188861
3,16,cls_attention,0.12014500142089453
3,17,cls_attention,0.20924338934071354
3,18,cls_attention,0.1829185581352821
3,19,cls_attention,0.20539392080203328
3,20,cls_attention,0.20266070702744457
3,21,cls_attention,0.20627997265844175
3,22,cls_attention,0.15939001897865412
3,23,cls_attention,0.2755721387078124
3,24,cls_attention,0.33025074285162054
3,25,cls_attention,0.26427514156859194
3,26,cls_attention,0.21082938577443922
3,27,cls_attention,0.2251994656573045
3,28,cls_attention,0.3836017673399956
3,29,cls_attention,0.19998498403166107
3,30,cls_attention,0.2296914491101703
3,31,cls_attention,0.27717675282664983
4,0,cls_attention,0.1669789340642123
4,1,cls_attention,0.1922590179439236
4,2,cls_attention,0.23765057002262654
4,3,cls_attention,0.2002024908768947
4,4,cls_attention,0.13166171756751183
4,5,cls_attention,0.1385608097573421
4,6,cls_attention,0.1894830069174765
4,7,cls_attention,0.16544996135050566
4,8,cls_attention,0.11350486183272555
4,9,cls_attention,0.13499709341295174
4,10,cls_attention,0.18564188170997273
4,11,cls_attention,0.1701287696099795
4,12,cls_attention,0.08653367885384393
4,13,cls_attention,0.15905122794710388
4,14,cls_attention,0.19893556887879965
4,15,cls_attention,0.1997326905543066
4,16,cls_attention,0.1466501034852215
4,17,cls_attention,0.09510637943443254
4,18,cls_attention,0.18685924597879336
4,19,cls_attention,0.19622826429266763
4,20,cls_attention,0.14448368205291517
4,21,cls_attention,0.22625243762025318
4,22,cls_attention,0.29815820741141935
4,23,cls_attention,0.16359511762483472
4,24,cls_attention,0.17235140473931598
4,25,cls_attention,0.10946781368406913
4,26,cls_attention,0.20376353634024544
4,27,cls_attention,0.16363494387541105
4,28,cls_attention,0.11452303239284096
4,29,cls_attention,0.12492491429857881
4,30,cls_attention,0.11979425084013615
4,31,cls_attention,0.10591521674684491
5,0,cls_attention,0.25506629954390514
5,1,cls_attention,0.3701908439190066
5,2,cls_attention,0.30402398480250126
5,3,cls_attention,0.3083754903688726
5,4,cls_attention,0.18964304552827874
5,5,cls_attention,0.24469950770013296
5,6,cls_attention,0.2907808823895262
5,7,cls_attention,0.2261965303342728
5,8,cls_attention,0.11852344354355973
5,9,cls_attention,0.14916452728558421
5,10,cls_attention,0.18341155556824626
5,11,cls_attention,0.15358006998381163
5,12,cls_attention,0.27855323198594295
5,13,cls_attention,0.09433289512256214
5,14,cls_attention,0.1434128692559248
5,15,cls_attention,0.12446409191891482
5,16,cls_attention,0.10875001395189032
5,17,cls_attention,0.1486675819490054
5,18,cls_attention,0.18412113694115395
5,19,cls_attention,0.19493273510358597
5,20,cls_attention,0.11440750309728301
5,21,cls_attention,0.2012005859412738
5,22,cls_attention,0.15281049070498584
5,23,cls_attention,0.18413230331505961
5,24,cls_attention,0.19290376137920925
5,25,cls_attention,0.16935870593317226
5,26,cls_attention,0.15567144736507293
5,27,cls_attention,0.2080666583700952
5,28,cls_attention,0.1515643836067639
5,29,cls_attention,0.1563925794519583
5,30,cls_attention,0.2234586250657486
5,31,cls_attention,0.16474847092752623
6,0,cls_attention,0.12668620778920128
6,1,cls_attention,0.37425901756546703
6,2,cls_attention,0.24752367560439467
6,3,cls_attention,0.1484316312477937
