i,j,Pattern,Score
0,10,next_attention,0.38166708452302683
1,1,next_attention,0.3900381249333087
2,0,next_attention,0.014973727528580028
2,9,next_attention,0.02243002747319628
3,9,next_attention,0.47773440768213266
5,9,next_attention,0.447044931213967
0,2,previous_attention,0.48272681621455255
0,3,previous_attention,0.5021924759682267
1,4,previous_attention,0.3629325015033591
3,5,previous_attention,0.31138915082270674
6,11,previous_attention,0.5071119474018531
7,4,previous_attention,0.4641021531669714
2,1,previous_attention,0.534122677886578
2,6,same_attention,0.4869062921437952
11,8,same_attention,0.5369082999484354
3,6,punctuation_attention,0.5494134138373056
4,3,punctuation_attention,0.4909716911770037
4,5,punctuation_attention,0.538625466533798
4,7,punctuation_attention,0.5048744595912001
4,8,punctuation_attention,0.4851858376764258
4,9,punctuation_attention,0.5320777594341525
4,11,punctuation_attention,0.515150981374425
5,0,punctuation_attention,0.5222033842347041
5,1,punctuation_attention,0.488005667384894
5,4,punctuation_attention,0.49882711100877664
5,5,punctuation_attention,0.45304700732255637
5,6,punctuation_attention,0.5027205716518793
5,7,punctuation_attention,0.5141089027277405
5,8,punctuation_attention,0.5413724355414824
5,11,punctuation_attention,0.4842536912760898
6,0,punctuation_attention,0.5159878155512594
6,2,punctuation_attention,0.5250704383308636
6,3,punctuation_attention,0.47738455271576796
6,4,punctuation_attention,0.5110042525607731
6,5,punctuation_attention,0.5349510290973959
6,6,punctuation_attention,0.5127569074799776
6,8,punctuation_attention,0.49719804800341444
6,10,punctuation_attention,0.49569806656744353
7,1,punctuation_attention,0.5273565284493831
7,2,punctuation_attention,0.5471412157386307
7,3,punctuation_attention,0.49790201265517736
7,6,punctuation_attention,0.49664599576996177
7,7,punctuation_attention,0.4846349255983211
7,8,punctuation_attention,0.48197928288386654
7,9,punctuation_attention,0.505830565248084
7,11,punctuation_attention,0.5105389413801685
8,0,punctuation_attention,0.5081561029799968
8,1,punctuation_attention,0.49237854863646596
8,2,punctuation_attention,0.47543637713084747
8,3,punctuation_attention,0.5075798691231571
8,4,punctuation_attention,0.4969856765053854
8,5,punctuation_attention,0.5196805935577218
8,6,punctuation_attention,0.4727420638568665
8,9,punctuation_attention,0.5159405991790306
8,11,punctuation_attention,0.4972712506710111
9,0,punctuation_attention,0.50838761621354
9,3,punctuation_attention,0.4765655153133995
9,4,punctuation_attention,0.5028752089041243
9,6,punctuation_attention,0.4605689749020137
9,7,punctuation_attention,0.5317508364969764
9,9,punctuation_attention,0.47038986048357856
9,11,punctuation_attention,0.4950560951674608
10,1,punctuation_attention,0.48017110076694697
10,3,punctuation_attention,0.425601560589085
10,5,punctuation_attention,0.45696801803742976
10,7,punctuation_attention,0.4747731954914003
10,8,punctuation_attention,0.49449916184278875
11,0,punctuation_attention,0.4542793656961643
11,1,punctuation_attention,0.48020173546904693
11,2,punctuation_attention,0.5140445439753364
11,3,punctuation_attention,0.4678820382577804
11,6,punctuation_attention,0.4740626525518647
11,7,punctuation_attention,0.39791028200385437
11,10,punctuation_attention,0.4715317739861429
11,11,punctuation_attention,0.4338652343163851
3,2,punctuation_attention,0.4592673443742
3,4,punctuation_attention,0.5384101259745567
4,2,punctuation_attention,0.5026616079369002
4,4,punctuation_attention,0.49050430131976863
5,2,punctuation_attention,0.49205380598178616
6,1,punctuation_attention,0.49838764181299966
6,7,punctuation_attention,0.5419967068840776
9,1,punctuation_attention,0.5313427064073829
10,0,punctuation_attention,0.4730220337221196
10,4,punctuation_attention,0.4787995481027021
10,9,punctuation_attention,0.4481452868531273
11,4,punctuation_attention,0.40373605418809333
11,5,punctuation_attention,0.43317148795949884
11,9,punctuation_attention,0.5065663793191988
4,3,last_token_attention,0.48745385781651573
4,7,last_token_attention,0.5361606981051045
4,8,last_token_attention,0.5053512857109687
4,9,last_token_attention,0.5379735271842968
4,11,last_token_attention,0.540912180680068
5,0,last_token_attention,0.5437376382941729
5,1,last_token_attention,0.49509215266295953
5,4,last_token_attention,0.5228876281404168
5,5,last_token_attention,0.4589342889427221
5,6,last_token_attention,0.5265617938886932
5,7,last_token_attention,0.5415464231874595
5,11,last_token_attention,0.49985351552676666
6,0,last_token_attention,0.5344170824752024
6,2,last_token_attention,0.5195612521388514
6,3,last_token_attention,0.48801952940905763
6,4,last_token_attention,0.5338031308169864
6,6,last_token_attention,0.5366019930714698
6,8,last_token_attention,0.49533220075707013
6,10,last_token_attention,0.5165303132156118
7,1,last_token_attention,0.5404843753886267
7,3,last_token_attention,0.4786056794982949
7,6,last_token_attention,0.4924542209112211
7,7,last_token_attention,0.47423048156675
7,8,last_token_attention,0.48557844476795764
7,9,last_token_attention,0.4780965781072568
7,11,last_token_attention,0.4998144232364416
8,0,last_token_attention,0.5340641514191298
8,1,last_token_attention,0.48671076661106794
8,2,last_token_attention,0.4769235246427946
8,3,last_token_attention,0.5155510828120423
8,4,last_token_attention,0.5133488996670172
8,5,last_token_attention,0.528053015839944
8,6,last_token_attention,0.4758793481107819
8,9,last_token_attention,0.5374145148887779
8,11,last_token_attention,0.5295267091983723
9,3,last_token_attention,0.4931633817268845
9,4,last_token_attention,0.514743087821254
9,6,last_token_attention,0.4424398675365448
9,9,last_token_attention,0.4652154049551069
9,11,last_token_attention,0.5066718046062797
10,1,last_token_attention,0.45919470671905227
10,3,last_token_attention,0.39990592881081727
10,5,last_token_attention,0.44387215848886963
10,7,last_token_attention,0.4693501839427616
10,8,last_token_attention,0.4932472449443643
11,0,last_token_attention,0.412465275638844
11,1,last_token_attention,0.442475335638677
11,2,last_token_attention,0.484893501449208
11,3,last_token_attention,0.46602982064385395
11,6,last_token_attention,0.44212180016250174
11,7,last_token_attention,0.41169411473179024
11,10,last_token_attention,0.4334510155630728
11,11,last_token_attention,0.44788678578741226
3,2,last_token_attention,0.462502564466846
3,4,last_token_attention,0.5383935387562684
4,2,last_token_attention,0.5316452137283664
4,4,last_token_attention,0.48437055701853915
5,2,last_token_attention,0.5161271814983642
6,1,last_token_attention,0.522998104601957
9,0,last_token_attention,0.539113954174933
9,1,last_token_attention,0.5491843875085467
10,0,last_token_attention,0.49555750055418957
10,2,last_token_attention,0.5367944575491179
10,4,last_token_attention,0.4349394938763975
10,6,last_token_attention,0.525252863852586
10,9,last_token_attention,0.44777196209548986
11,4,last_token_attention,0.43063005230038853
11,5,last_token_attention,0.46514018960311654
11,9,last_token_attention,0.46920085822576496
3,0,last_token_attention,0.5255501168915729
1,11,repeated_attention,0.5089001387490659
2,6,repeated_attention,0.4398926552319624
11,8,repeated_attention,0.5310292288915606
0,0,uniform_attention,0.1487708210103603
0,1,uniform_attention,0.3483297243381977
0,2,uniform_attention,0.5270777551868533
0,3,uniform_attention,0.5259678372303334
0,4,uniform_attention,0.20805752779905903
0,5,uniform_attention,0.3253300849654556
0,6,uniform_attention,0.22290662811733494
0,7,uniform_attention,0.3263845679176311
0,8,uniform_attention,0.28901657936546904
0,9,uniform_attention,0.31264413278746295
0,11,uniform_attention,0.38778226141953537
1,0,uniform_attention,0.43451560077852397
1,2,uniform_attention,0.4769641310147093
1,3,uniform_attention,0.3883064948713395
1,5,uniform_attention,0.4439082859314388
1,7,uniform_attention,0.4185838372958204
1,8,uniform_attention,0.30231888266605683
1,9,uniform_attention,0.41050994403691443
1,10,uniform_attention,0.4185286979030404
1,11,uniform_attention,0.4389397251587459
2,2,uniform_attention,0.5282403414626061
2,3,uniform_attention,0.44215560027486395
2,4,uniform_attention,0.4764977695795003
2,5,uniform_attention,0.348100111395673
2,6,uniform_attention,0.5096676978553784
2,7,uniform_attention,0.4105701580121061
2,8,uniform_attention,0.4471077568310837
2,10,uniform_attention,0.46952411729580495
2,11,uniform_attention,0.40801926992726717
3,1,uniform_attention,0.33901217530997135
3,2,uniform_attention,0.49510676448868773
3,3,uniform_attention,0.48289216674769025
3,4,uniform_attention,0.4405004077829198
3,6,uniform_attention,0.4509435370695898
3,7,uniform_attention,0.40273318642968486
3,8,uniform_attention,0.45105969505644206
3,10,uniform_attention,0.46433185878585315
3,11,uniform_attention,0.5315351489724236
4,0,uniform_attention,0.5231653617297689
4,1,uniform_attention,0.30538181815493604
4,2,uniform_attention,0.4884495882083601
4,4,uniform_attention,0.4439698692176555
4,6,uniform_attention,0.5084308981864935
4,8,uniform_attention,0.523490648458942
4,9,uniform_attention,0.4521182135048904
4,10,uniform_attention,0.5019925586692208
5,0,uniform_attention,0.5346932186805593
5,2,uniform_attention,0.41166487172378874
5,3,uniform_attention,0.49097652543826226
5,4,uniform_attention,0.437353693474459
5,8,uniform_attention,0.45322080072547627
5,10,uniform_attention,0.5291369232921417
6,1,uniform_attention,0.4943404726045873
6,2,uniform_attention,0.5206826491902165
6,5,uniform_attention,0.5358993001015852
6,7,uniform_attention,0.43846971105562454
6,8,uniform_attention,0.5401693951953981
7,0,uniform_attention,0.48874403882731765
7,1,uniform_attention,0.5118370814577323
7,5,uniform_attention,0.4204763497817092
7,8,uniform_attention,0.49984710218172496
8,0,uniform_attention,0.5241003079805256
8,1,uniform_attention,0.49724143283519256
8,3,uniform_attention,0.4562356816534194
8,4,uniform_attention,0.5246315917604033
8,7,uniform_attention,0.3336926775184493
8,8,uniform_attention,0.3466627716489475
8,9,uniform_attention,0.4313608122865906
8,10,uniform_attention,0.5182958509670863
8,11,uniform_attention,0.4847123958847739
