i,j,Pattern,Score
1,6,cls_attention,0.8003846900193139
1,6,dominant_subject_attention,0.757193039286019
1,6,first_token_domination,0.8003846900193139
3,0,cls_attention,0.950915614970738
3,1,cls_attention,0.9303088727573781
3,2,cls_attention,0.9001116492412017
3,3,cls_attention,0.8246869362026644
3,4,cls_attention,0.9574978137177519
3,5,cls_attention,0.9259843718440074
3,6,cls_attention,0.9349541619102038
3,7,cls_attention,0.9442138914836434
3,8,cls_attention,0.765787593130011
3,9,cls_attention,0.776822279062101
3,10,cls_attention,0.7700851942140486
3,11,cls_attention,0.8134715816959163
3,12,cls_attention,0.8114323378977953
3,13,cls_attention,0.756543255025218
3,14,cls_attention,0.7856017067163039
3,15,cls_attention,0.6529775246388568
3,16,cls_attention,0.9190886645123194
3,17,cls_attention,0.7954634574260435
3,18,cls_attention,0.8192512870712528
3,19,cls_attention,0.8091935115915367
3,20,cls_attention,0.7853875939732685
3,21,cls_attention,0.7784960614611433
3,22,cls_attention,0.8617314164852786
3,23,cls_attention,0.6150253942984802
3,25,cls_attention,0.7024083145436428
3,26,cls_attention,0.7456638351598498
3,27,cls_attention,0.7498837194048118
3,29,cls_attention,0.7859955809382292
3,30,cls_attention,0.7718736334699493
3,31,cls_attention,0.7128740909707177
4,0,cls_attention,0.8523673333155312
4,1,cls_attention,0.805984638098265
4,2,cls_attention,0.7161540803983947
4,3,cls_attention,0.7999897078572294
4,4,cls_attention,0.9204058059465122
4,5,cls_attention,0.8941010683545164
4,6,cls_attention,0.8043091668106624
4,7,cls_attention,0.8077540386627969
4,8,cls_attention,0.9461081891016266
4,9,cls_attention,0.8574705358731564
4,10,cls_attention,0.8019784599158625
4,11,cls_attention,0.8572655225219462
4,12,cls_attention,0.9367853283083448
4,13,cls_attention,0.8528153044117364
4,14,cls_attention,0.78508021711986
4,15,cls_attention,0.7997305911095229
4,16,cls_attention,0.8424971772778079
4,17,cls_attention,0.9344983937255634
4,18,cls_attention,0.821959028409995
4,19,cls_attention,0.8326547028499905
4,20,cls_attention,0.8896109435730978
4,21,cls_attention,0.7266029689737371
4,22,cls_attention,0.6140426792525021
4,23,cls_attention,0.858058593196386
4,24,cls_attention,0.8252789427205692
4,25,cls_attention,0.9148958586485197
